Plot,Elevation_22
346,1146.384159342
347,1145.722277832
348,1145.353991699
349,1145.094462891
350,1144.785734049
351,1144.45144043
352,1144.422013346
353,1144.722314453
354,1145.091739909
355,1145.378898112
356,1145.80760498
357,1146.33222168
358,1146.782076009
359,1147.054650879
360,1147.329305013
361,1147.776645508
362,1148.099678548
363,1148.257824707
364,1148.320906576
365,1147.941386719
366,1147.136433919
367,1146.119844564
368,1145.390808105
369,1144.927001953
370,1144.343359375
371,1143.762166341
372,1143.124279785
373,1147.45921224
374,1147.427825928
375,1147.148318821
376,1146.630786133
377,1145.990224202
378,1145.347486708
379,1145.008185493
380,1144.783666992
381,1144.510650635
382,1144.221021864
383,1144.21661377
384,1144.526509603
385,1144.912241618
386,1145.248155382
387,1145.727671305
388,1146.275899251
389,1146.754245334
390,1147.062065972
391,1147.323971219
392,1147.787207031
393,1148.120551215
394,1148.271633572
395,1148.363182916
396,1147.970808919
397,1147.153686523
398,1146.140119765
399,1145.402092828
400,1144.928556315
401,1144.323730469
402,1143.712785509
403,1143.117445204
404,1147.037272135
405,1147.020253499
406,1146.75881958
407,1146.263627116
408,1145.64734904
409,1144.991729736
410,1144.678602431
411,1144.49296875
412,1144.248409695
413,1143.993191189
414,1143.998714871
415,1144.325467936
416,1144.735846625
417,1145.105000814
418,1145.619069417
419,1146.184313965
420,1146.692650689
421,1147.021026611
422,1147.289313422
423,1147.728108724
424,1148.06870185
425,1148.224633111
426,1148.301411947
427,1147.927140299
428,1147.12765842
429,1146.123524984
430,1145.391967773
431,1144.915193685
432,1144.313791911
433,1143.701426188
434,1143.166022407
435,1146.697062174
436,1146.685475667
437,1146.429660373
438,1145.959977214
439,1145.339935303
440,1144.698527018
441,1144.389604357
442,1144.217464193
443,1144.004279243
444,1143.776062012
445,1143.795925564
446,1144.135144043
447,1144.560601128
448,1144.941867405
449,1145.477474637
450,1146.070048014
451,1146.607679579
452,1146.914089627
453,1147.199062771
454,1147.636576335
455,1147.984297011
456,1148.138031006
457,1148.212015788
458,1147.848718262
459,1147.051177979
460,1146.056454129
461,1145.330973307
462,1144.872505697
463,1144.265618218
464,1143.6939426
465,1143.254774306
466,1146.418237305
467,1146.411857096
468,1146.187316895
469,1145.714179688
470,1145.096313477
471,1144.455033366
472,1144.158703613
473,1144.002109375
474,1143.796252441
475,1143.583695475
476,1143.620768229
477,1143.965209961
478,1144.397627767
479,1144.79498291
480,1145.333776855
481,1145.919394531
482,1146.453511556
483,1146.789152018
484,1147.102600098
485,1147.557744141
486,1147.885001628
487,1148.054187012
488,1148.126334635
489,1147.757416992
490,1146.971268717
491,1145.994112142
492,1145.25715332
493,1144.79987793
494,1144.178466797
495,1143.628361003
496,1143.285123698
497,1146.189355469
498,1146.174034966
499,1145.963656955
500,1145.510355632
501,1144.907938639
502,1144.278337267
503,1143.964443631
504,1143.805843099
505,1143.629113091
506,1143.433390299
507,1143.478824192
508,1143.819637044
509,1144.23562283
510,1144.633327908
511,1145.180362278
512,1145.76751709
513,1146.314032661
514,1146.680104574
515,1147.012936062
516,1147.471069336
517,1147.810512967
518,1147.986897786
519,1148.079796685
520,1147.711437988
521,1146.893809001
522,1145.927870009
523,1145.182393392
524,1144.722460938
525,1144.095584446
526,1143.557071262
527,1143.245293511
528,1145.997033691
529,1146.011342367
530,1145.79232449
531,1145.369185384
532,1144.771643745
533,1144.13828871
534,1143.828277588
535,1143.661661784
536,1143.492824978
537,1143.305599637
538,1143.353864882
539,1143.692944336
540,1144.090216743
541,1144.478759766
542,1145.041371663
543,1145.625984701
