,Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
4094,4095,Plot1054,2020,6182020,32.19,43.503,27.875,35.14599424,0.183183632,0.149458999,0.23658455,0.640760407,26.941,0.015091534,-0.043237293,26.92590847,0.292386667,0.356732443,1.351444548,1.417792785,15,14,191.5307723
4095,4096,Plot1055,2020,6182020,31.516,42.765,27.414,34.51391447,0.184134016,0.151438457,0.24001963,0.641038232,26.6,0.013347756,-0.043123064,26.58665224,0.29608658,0.358309825,1.356929813,1.421423287,15,15,192.2170438
4096,4097,Plot1056,2020,6182020,32.153,43.391,27.837,35.0784495,0.182541629,0.148760987,0.235562915,0.641538568,26.792,0.015701144,-0.042746733,26.77629886,0.291080414,0.355579242,1.349516375,1.415870878,15,16,190.4147564
4097,4098,Plot1057,2020,6182020,32.365,44.047,28.305,35.53779424,0.184345675,0.152881746,0.242833683,0.642609031,27.424,0.012070628,-0.042209001,27.41192937,0.298780155,0.358531019,1.360945466,1.423067399,15,17,191.6942899
4098,4099,Plot1058,2020,6182020,34.141,44.364,28.825,36.35314293,0.169828734,0.130221005,0.205776973,0.649738527,25.762,0.031989192,-0.037352092,25.73001081,0.256099205,0.333318846,1.299434697,1.374777019,15,18,190.8520884
4099,4100,Plot1059,2020,6182020,31.353,42.603,27.071,34.30677901,0.186465223,0.152117475,0.239948811,0.635424735,26.782,0.012780742,-0.046557851,26.76921926,0.297354254,0.362740618,1.358817338,1.426914954,15,19,189.7657498
4100,4101,Plot106,2020,6182020,24.285,35.166,21.978,27.74551775,0.206432523,0.183024676,0.290369066,0.624978673,24.069,-0.014331504,-0.053995505,24.0833315,0.354184856,0.397039348,1.448054355,1.496995151,62,6,228.1031279
4101,4102,Plot1060,2020,6182020,30.707,42.469,27.082,34.05862854,0.190216287,0.16073576,0.255174209,0.637688667,27.149,0.005194598,-0.045424804,27.1438054,0.313375165,0.368852659,1.383039698,1.442122033,15,20,187.4451896
4102,4103,Plot1061,2020,6182020,35.13,45.414,29.549,37.28132552,0.168153202,0.127681764,0.20166683,0.650658387,26.149,0.034225609,-0.036745297,26.11477439,0.251267211,0.330391572,1.292741247,1.369404281,14,1,165.7332074
4103,4104,Plot1062,2020,6182020,36.21,45.993,30.321,38.06084248,0.160582146,0.119010255,0.188562507,0.659252495,25.455,0.041777754,-0.031491948,25.41322225,0.234696402,0.316633723,1.270173985,1.347511623,14,2,158.4801099
4104,4105,Plot1063,2020,6182020,35.505,45.981,30.033,37.75728837,0.167771429,0.128561962,0.203603288,0.653161088,26.424,0.033411347,-0.035283674,26.39058865,0.252943232,0.32947848,1.295057034,1.369288409,14,3,163.6719493
4105,4106,Plot1064,2020,6182020,36.562,46.504,30.383,38.39500206,0.162941614,0.119687959,0.188713627,0.653341648,26.063,0.041276697,-0.034974306,26.0217233,0.235995237,0.321296321,1.271921667,1.352799174,14,4,166.1005832
4106,4107,Plot1065,2020,6182020,35.922,46.531,29.527,37.97967779,0.174202421,0.128667241,0.200449684,0.634566203,27.613,0.033575639,-0.046376139,27.57942436,0.253143623,0.342384553,1.295334336,1.382718877,14,5,138.6061212
4107,4108,Plot1066,2020,6182020,35.446,45.842,29.16,37.45314175,0.173254847,0.127890956,0.199432167,0.636097901,27.078,0.03424598,-0.045433145,27.04375402,0.251665644,0.34062248,1.293291204,1.380155334,14,6,163.5516486
4108,4109,Plot1067,2020,6182020,37.488,47.661,30.232,39.11902729,0.169293802,0.119472924,0.185243185,0.63431317,27.602,0.04179371,-0.046248516,27.56020629,0.235583185,0.334292045,1.271366837,1.365782471,14,7,185.945851
4109,4110,Plot1068,2020,6182020,34.516,44.873,27.984,36.46022783,0.178960367,0.13045888,0.201478455,0.62362668,27.246,0.032125395,-0.05304313,27.21387461,0.256551378,0.351635093,1.300063739,1.394133932,14,8,190.388872
4110,4111,Plot1069,2020,6182020,34.656,44.934,27.815,36.48642175,0.179842325,0.129136826,0.198512796,0.619019006,27.397,0.033372748,-0.055798147,27.36362725,0.254037246,0.353704422,1.296572022,1.395076222,14,9,182.5277304
4111,4112,Plot107,2020,6182020,24.134,35.246,22.388,27.84452679,0.204847283,0.187133715,0.300389273,0.635192646,23.97,-0.017835828,-0.047730163,23.98783583,0.361604396,0.393790797,1.46042927,1.497410913,62,7,228.6587392
4112,4113,Plot1070,2020,6182020,33.667,44.867,28.079,36.21668501,0.184763665,0.14261339,0.221979982,0.625827446,27.988,0.021261947,-0.052117472,27.96673805,0.279541308,0.360910625,1.332669974,1.415697937,14,10,186.1391083
4113,4114,Plot1071,2020,6182020,35.128,45.378,29.054,37.13611981,0.171513767,0.127319703,0.199214802,0.640266208,26.574,0.034695144,-0.042920774,26.53930486,0.250577468,0.337217833,1.291790025,1.376090325,14,11,187.0045577
4114,4115,Plot1072,2020,6182020,34.91,45.546,28.769,37.06211712,0.177119745,0.13219648,0.205777081,0.631647126,27.413,0.030469215,-0.048243534,27.38253079,0.259851813,0.34757856,1.304669149,1.391492101,14,12,186.4690135
4115,4116,Plot1073,2020,6182020,35.583,46.219,29.206,37.66225469,0.17585402,0.130021271,0.202220701,0.631904628,27.649,0.032404872,-0.048019963,27.61659513,0.255719468,0.345451736,1.298906781,1.387201513,14,13,191.6590644
