Extract_GALa_Yld_Mass_D,Plot
13295.207790799,561
12102.39203559,562
9947.62250434,563
9739.877115885,564
9989.047092014,565
11651.52094184,566
12324.021267361,567
11400.017686632,568
9874.083333333,569
7879.683105469,570
9926.527126736,571
11145.156358507,572
10780.502604167,573
9334.659071181,574
8195.618272569,575
10450.84765625,576
12374.435872396,577
11196.081597222,578
13904.227213542,579
14249.615668403,580
13524.260416667,581
14088.623263889,582
14060.391276042,583
13593.963975694,584
13429.001193576,585
13594.866427951,586
13742.355577257,587
13058.000108507,588
13426.032877604,589
14012.129123264,590
13951.602322049,591
13703.368164062,592
13658.147569444,593
12603.167317708,594
9948.884982639,595
10014.084147135,596
10010.56391059,597
11648.524305556,598
12110.460720486,599
11756.883789062,600
9950.034396701,601
8072.829508464,602
9930.904947917,603
11032.390516493,604
10788.726888021,605
9481.048611111,606
8610.040201823,607
10615.456814236,608
11090.824869792,609
9710.085232205,610
14230.348198785,611
14990.054796007,612
13865.172309028,613
13874.128146701,614
14303.123046875,615
13844.470052083,616
13273.899956597,617
13213.942708333,618
13564.28266059,619
13212.470052083,620
13829.517903646,621
14448.822699653,622
14415.26030816,623
13881.493706597,624
13743.726345486,625
13021.289713542,626
9883.630859375,627
10247.347330729,628
10640.490125868,629
11991.523980035,630
12220.58843316,631
11965.036241319,632
10188.182291667,633
8953.736490885,634
10369.733289931,635
10818.182074653,636
10749.197916667,637
10195.014322917,638
9777.321506076,639
11202.806857639,640
13708.555013021,641
10881.417860243,642
14396.141601562,643
15245.914822049,644
13692.175347222,645
13452.887478299,646
14002.134114583,647
13839.145616319,648
13041.36859809,649
12949.331922743,650
13326.935112847,651
13480.754882812,652
14255.455729167,653
14591.531792535,654
14580.848415799,655
14078.071072049,656
14002.985026042,657
13496.704861111,658
10339.136610243,659
10655.477701823,660
10922.246202257,661
11944.064887153,662
12136.941189236,663
12305.398871528,664
10837.735894097,665
10307.560872396,666
10850.393988715,667
10490.735243056,668
10639.722873264,669
10922.942708333,670
11126.175238715,671
12152.186414931,672
12437.547309028,673
12036.427951389,674
13438.672851562,675
15159.566189236,676
13352.496310764,677
13375.561414931,678
13800.726236979,679
13578.402886285,680
12833.456814236,681
13013.310221354,682
13533.21484375,683
13594.058268229,684
14264.329915365,685
14419.938476563,686
14411.456922743,687
14027.993923611,688
13804.267903646,689
13497.024631076,690
11087.104492188,691
11260.281738281,692
11790.652560764,693
12315.465603299,694
12168.522677951,695
12398.480902778,696
11406.731119792,697
11093.29671224,698
10930.218641493,699
10114.897786458,700
10601.689127604,701
11347.918619792,702
11763.877604167,703
12802.844401042,704
13097.134657118,705
12277.378472222,706
13727.134765625,707
14614.652560764,708
13727.056857639,709
13728.875651042,710
13423.428873698,711
13313.100477431,712
13161.462131076,713
13537.366536458,714
13987.853298611,715
13792.474609375,716
13842.139648438,717
13944.851996528,718
14295.678602431,719
14057.707248264,720
13691.56781684,721
13542.747938368,722
12341.629774306,723
12199.656901042,724
12812.447591146,725
12816.416341146,726
12413.70453559,727
12443.451280382,728
11564.876193576,729
11013.706542969,730
10647.505967882,731
9801.134114583,732
10602.706705729,733
11436.328233507,734
11561.375217014,735
12609.304144965,736
12787.137695312,737
12837.526041667,738
14012.325195312,739
13940.54280599,740
13689.199544271,741
13761.655110677,742
12919.017089844,743
13034.763834635,744
13771.933919271,745
13679.661783854,746
14014.260904948,747
14066.715983073,748
13702.578857422,749
13655.584798177,750
14063.414713542,751
14148.51188151,752
13759.0546875,753
13583.273925781,754
13364.786621094,755
12956.583007812,756
12721.506673177,757
12838.314453125,758
12630.280436198,759
12689.611490885,760
11543.602050781,761
11093.863525391,762
10712.83203125,763
9993.18359375,764
10819.295410156,765
12074.211425781,766
11603.952311198,767
12138.324707031,768
13718.249782986,769
13822.675564236,770
14057.489474826,771
13380.525499132,772
13672.538628472,773
13671.444335938,774
12941.122721354,775
12743.387695312,776
13902.720811632,777
13321.800889757,778
13662.502061632,779
13976.922417535,780
13485.492513021,781
13349.202365451,782
13751.472439236,783
14123.021484375,784
13628.945963542,785
13286.174587674,786
13861.890625,787
13404.465983073,788
12411.024631076,789
12658.481662326,790
12611.723198785,791
12948.249240451,792
11689.680772569,793
11605.43733724,794
11069.949001736,795
10571.931966146,796
11244.347547743,797
12898.777886285,798
11799.618815104,799
11443.112196181,800
12717.833116319,801
13545.699761285,802
13674.363932292,803
12880.614800347,804
13756.617404514,805
13677.11187066,806
13312.419433594,807
12660.609809028,808
13546.838867188,809
13298.385091146,810
13686.128363715,811
13808.788736979,812
13182.084309896,813
12997.160481771,814
13522.468532986,815
14080.286241319,816
13775.993055556,817
13170.299045139,818
13526.589735243,819
13612.80859375,820
12565.082248264,821
12523.547309028,822
12330.999782986,823
12821.92328559,824
12009.360460069,825
12153.915852865,826
11485.272135417,827
11161.048611111,828
11812.745551215,829
12927.941297743,830
11733.997395833,831
10895.458875868,832
10867.037760417,833
12571.32172309,834
13373.265625,835
12051.070529514,836
13178.596896701,837
13216.923719618,838
13418.452148438,839
12636.3046875,840
12946.590928819,841
13336.304470486,842
13162.021158854,843
13504.840494792,844
13273.139160156,845
13068.0,846
13601.799479167,847
14156.11078559,848
14015.029079861,849
13188.795789931,850
12944.620768229,851
13413.768554688,852
12536.275282118,853
12387.93891059,854
12016.914822049,855
12214.120985243,856
12245.992513021,857
12520.09781901,858
11623.244249132,859
12212.469292535,860
12284.03374566,861
12290.309895833,862
11421.027235243,863
10686.669704861,864
11044.716905382,865
11819.249023438,866
12690.094509549,867
11211.13530816,868
12828.776150174,869
12410.606336806,870
13294.55094401,871
12509.96343316,872
12547.230685764,873
13027.574110243,874
13483.560546875,875
13685.365885417,876
13126.568196615,877
12798.825195312,878
13721.523111979,879
14437.643012153,880
13591.9921875,881
12768.630859375,882
12900.441189236,883
13331.159830729,884
12021.916232639,885
11842.498263889,886
11356.525065104,887
11583.41547309,888
12213.909288194,889
12348.187988281,890
11536.060329861,891
12600.821072049,892
12318.637044271,893
11628.630642361,894
10729.835503472,895
9523.68608941,896
10929.329969618,897
10418.210828993,898
11140.870225694,899
10484.952365451,900
13125.419921875,901
11716.206814236,902
13228.588053385,903
12216.586588542,904
12570.34375,905
12460.200520833,906
13074.256510417,907
13228.360568576,908
12702.158854167,909
12396.060872396,910
13368.826388889,911
13550.922743056,912
12206.042317708,913
12105.025065104,914
12484.462022569,915
12977.862304688,916
11555.998914931,917
11039.188259549,918
11076.419813368,919
11329.670681424,920
11796.449544271,921
11989.948404948,922
11138.257378472,923
11761.718098958,924
11738.18608941,925
11129.742078993,926
9756.515733507002,927
7989.661132812,928
11462.474446615,929
9515.574707031,930
9181.945800781,931
9694.381835938,932
12540.37109375,933
10847.965820312,934
13141.449462891,935
11611.602050781,936
11922.272623698,937
11650.111165365,938
12018.259114583,939
11953.608723958,940
11798.077636719,941
11757.075032552,942
12540.521972656,943
12415.775390625,944
11096.504394531,945
11446.670410156,946
11784.687825521,947
12579.932373047,948
11447.28515625,949
10433.903971354,950
10806.887369792,951
10950.342773438,952
11044.323893229,953
10969.162841797,954
10281.185058594,955
10727.993326823,956
11047.874186198,957
10598.711263021,958
10370.227050781,959
9228.069173177,960
12171.366102431,961
8789.413357205,962
7291.776692708,963
8712.444661458,964
12452.038628472,965
9717.391547309,966
12590.408691406,967
10409.515733507,968
10900.101996528,969
10561.758463542,970
12252.412868924,971
11074.143337674,972
10265.568684896,973
10211.613172743,974
12027.440104167,975
12366.620442708,976
10277.237630208,977
10536.373155382,978
11399.636067708,979
12301.865559896,980
10687.554578993,981
9560.77484809,982
9515.805772569,983
9523.533528646,984
10194.989800347,985
9510.334635417,986
9258.815321181,987
9355.710394965,988
10225.568359375,989
10145.864257812,990
11761.665039062,991
9883.919053819,992
11669.244954427,993
8176.599555122,994
7124.947916667,995
8570.17719184,996
10584.175672743,997
10237.149522569,998
