Extract_GALa_Crop_Flw_V,Plot
1578.414713542,625
1500.643269857,626
1137.975857205,627
1207.991597493,628
1241.790256076,629
1407.99875217,630
1502.417358398,631
1385.072401259,632
1170.256293403,633
1091.528930664,634
1275.278483073,635
1262.086656359,636
1218.894192166,637
1162.821370443,638
1089.513190375,639
1284.458550347,640
821.063076443,641
760.929216173,642
1579.699747721,643
1867.356933594,644
1671.74363878,645
1655.85011122,646
1698.713846842,647
1685.844685872,648
1581.437676324,649
1581.178710938,650
1606.801784939,651
1550.574462891,652
1651.768758138,653
1716.682033963,654
1746.135321723,655
1686.712293837,656
1609.682671441,657
1572.356608073,658
1182.482435438,659
1260.910847982,660
1279.825263129,661
1417.466769748,662
1491.155693902,663
1427.699083116,664
1246.961032444,665
1240.539611816,666
1327.522610135,667
1229.882405599,668
1197.177720812,669
1240.149319119,670
1226.01969401,671
1399.259629991,672
1114.023410373,673
856.159183078,674
1355.214694553,675
1847.970024957,676
1623.896877713,677
1643.427775065,678
1655.318868001,679
1653.270304362,680
1556.984483507,681
1601.738335503,682
1642.065388997,683
1571.519422743,684
1650.746907552,685
1690.913479275,686
1721.651760525,687
1677.348687066,688
1584.407090929,689
1569.822957357,690
1274.808770074,691
1350.482971191,692
1394.246866862,693
1462.375284831,694
1487.992933485,695
1442.384385851,696
1326.412231445,697
1344.536254883,698
1331.232991536,699
1186.842637804,700
1193.871365017,701
1291.711046007,702
1297.106011285,703
1479.370171441,704
1286.937472873,705
1076.398735894,706
1394.891092936,707
1787.198391385,708
1651.869222005,709
1696.817803277,710
1607.901896159,711
1626.430989583,712
1596.907986111,713
1661.663913303,714
1697.765869141,715
1592.681911892,716
1586.184102376,717
1630.474310981,718
1708.181504991,719
1663.663506402,720
1547.619466146,721
1545.203260634,722
1430.103176541,723
1453.832234701,724
1493.197618273,725
1506.339626736,726
1514.672688802,727
1448.803344727,728
1348.272989909,729
1331.670125326,730
1282.933064779,731
1147.193929036,732
1184.873535156,733
1293.345960829,734
1280.964599609,735
1457.051771376,736
1142.539332072,737
1105.572296143,738
1384.830200195,739
1719.095438639,740
1639.765401204,741
1708.094604492,742
1563.776428223,743
1603.946105957,744
1663.94925944,745
1664.868143717,746
1689.73844401,747
1622.035827637,748
1573.487762451,749
1604.355061849,750
1680.140991211,751
1659.103841146,752
1558.729309082,753
1538.74017334,754
1557.00193278,755
1552.386230469,756
1493.903686523,757
1511.431396484,758
1524.398498535,759
1477.926228841,760
1344.930053711,761
1341.898864746,762
1288.269124349,763
1163.289815267,764
1194.765197754,765
1365.98260498,766
1290.358723958,767
1387.190592448,768
1471.030449761,769
1260.509792752,770
1393.626024034,771
1669.346503364,772
1628.600830078,773
1713.274549696,774
1563.954162598,775
1573.251464844,776
1680.700127496,777
1633.633761936,778
1654.90629069,779
1619.323784722,780
1554.566691081,781
1565.921264648,782
1637.271213108,783
1652.784844293,784
1563.356662326,785
1498.609157986,786
1605.014526367,787
1622.070414225,788
1463.206054687,789
1472.123128255,790
1509.208496094,791
1510.825737847,792
1352.433213976,793
1408.122599284,794
1348.254408095,795
1221.632256402,796
1236.691351997,797
1467.001980252,798
1311.846638997,799
1293.825032552,800
1366.594577365,801
1251.083916558,802
1387.352450901,803
1605.541870117,804
1630.146253798,805
1706.208184136,806
1596.493021647,807
1558.159803602,808
1643.421468099,809
1615.275078668,810
1650.886081272,811
1593.615342882,812
1523.777058919,813
1511.9425727,814
1593.338840061,815
1653.58199056,816
1579.181681315,817
1476.310655382,818
1572.319607205,819
1640.295735677,820
1470.199503581,821
1449.164428711,822
1455.017550998,823
1498.482760959,824
1379.147677951,825
1476.81044515,826
1412.616305881,827
1300.601318359,828
1296.665079753,829
1467.302503798,830
1285.543768989,831
1216.805731879,832
1139.173692491,833
1119.566772461,834
1359.138739692,835
1497.18097602,836
1569.810058594,837
1651.251627604,838
1606.537577311,839
1559.055257161,840
1568.897135417,841
1601.340928819,842
1591.574951172,843
1556.000434028,844
1531.990315755,845
1479.353162977,846
1573.570583767,847
1673.345323351,848
1601.654703776,849
1493.034586589,850
1519.779690213,851
1617.623453776,852
1445.15866428,853
1436.315090603,854
1368.049479167,855
1400.120402018,856
1399.390204536,857
1522.951700846,858
1423.958563911,859
1417.515380859,860
1366.0441352,861
1367.156778971,862
1228.255086263,863
1190.66257053,864
1200.687961155,865
1018.172675239,866
1249.625528971,867
1364.051961263,868
1505.466783312,869
1549.674953885,870
1587.024149577,871
1526.064046224,872
1516.081827799,873
1556.759602865,874
1617.232977973,875
1572.463202582,876
1516.063944499,877
1424.835191515,878
1597.217312283,879
1713.462253147,880
1552.065049913,881
1437.051296658,882
1512.948065864,883
1614.361755371,884
1371.043633355,885
1370.455634223,886
1268.428643121,887
1319.028252496,888
1397.649305556,889
1517.849141439,890
1411.035047743,891
1462.36702474,892
1366.499755859,893
1274.104994032,894
1143.155815972,895
1064.35305447,896
1212.955796984,897
895.664964464,898
1065.640160455,899
1285.70433214,900
1533.071546766,901
1432.050645616,902
1574.817769368,903
1454.117757161,904
1504.451497396,905
1474.491956923,906
1559.932915582,907
1520.091851128,908
1457.629272461,909
1354.618096246,910
1562.852240668,911
1646.012654622,912
1381.19656033,913
1354.387410482,914
1471.435370551,915
1584.539347331,916
1292.547783746,917
1258.688435872,918
1232.40367296,919
1299.852010091,920
1345.466145833,921
1473.467366536,922
1354.711954753,923
1370.258300781,924
1272.09636773,925
1211.814615885,926
1037.154744466,927
792.105604384,928
1298.384419759,929
846.741546631,930
882.176167806,931
1191.39638265,932
1445.183614095,933
1307.729980469,934
1535.16986084,935
1351.06628418,936
1415.113911947,937
1342.897013346,938
1416.129536947,939
1353.358154297,940
1338.388885498,941
1270.970052083,942
1432.167317708,943
1497.896606445,944
1246.708475749,945
1279.426615397,946
1373.631998698,947
1505.20135498,948
