Extract_crop_fw_m,Plot
18.51273632,506
21.202880383,507
22.019277573,508
22.603061199,509
23.007161617,510
23.424939632,511
24.435254574,512
24.800788879,513
24.321974754,514
24.010494709,515
24.299489021,516
23.994694233,517
24.436695576,518
24.720975876,519
24.309623241,520
15.519189119,521
14.994029999,522
12.344593763,523
15.926030159,524
15.535205841,525
19.638266087,526
22.382247448,527
22.763492107,528
23.104948521,529
23.314987183,530
23.729114056,531
24.720242977,532
25.176514626,533
25.170732498,534
25.132174015,535
25.047838688,536
24.54875803,537
24.361370564,538
23.80807066,539
23.697933674,540
16.428228855,541
16.215666056,542
14.466901064,543
17.093326092,544
16.354458809,545
21.50098753,546
24.324751854,547
24.158733845,548
24.230787277,549
24.226400852,550
24.672862053,551
25.123119354,552
25.520595551,553
26.477631569,554
26.673230648,555
25.506907463,556
24.85695076,557
24.325947285,558
23.16351366,559
22.802707195,560
16.804507732,561
17.056396484,562
12.674937487,563
16.090981483,564
16.572592735,565
20.248836994,566
22.655036449,567
23.01561451,568
22.972206116,569
22.964382172,570
23.532166958,571
23.44815731,572
23.475381851,573
24.144687653,574
25.079796791,575
24.456401825,576
24.810025215,577
24.1717453,578
23.625238895,579
24.157484055,580
16.723843098,581
17.24488163,582
14.822650433,583
17.885903835,584
16.954196453,585
20.177327633,586
22.239273071,587
23.019536495,588
23.721083641,589
23.806704521,590
23.880651474,591
24.05568409,592
24.197505951,593
24.385808468,594
24.659461498,595
24.578507423,596
24.899703979,597
24.409438133,598
24.244845867,599
24.869450569,600
16.677400112,601
17.162715435,602
15.420143127,603
18.267398357,604
16.260694027,605
20.831188679,606
22.905157566,607
23.575577736,608
24.740475178,609
24.974241734,610
24.797516346,611
25.168958664,612
25.411362648,613
25.28759861,614
24.85735178,615
24.764862061,616
24.963880062,617
24.630734921,618
24.634869576,619
24.77113533,620
16.931414604,621
17.473686218,622
15.925737858,623
17.564858437,624
16.084940434,625
20.346661091,626
23.824681282,627
23.454004288,628
23.8721838,629
24.742992878,630
24.989748001,631
24.679996014,632
24.274384499,633
24.29769516,634
23.758574486,635
23.354188442,636
23.828510284,637
24.566495895,638
24.396267891,639
23.250966072,640
17.791846752,641
18.22403574,642
16.605493546,643
18.358565807,644
16.272784948,645
21.070197582,646
24.984069347,647
24.797856331,648
24.415058136,649
24.245486259,650
24.149357319,651
23.787260056,652
23.490281105,653
23.548196316,654
24.179886341,655
24.748831749,656
24.338180065,657
24.370946884,658
24.521207333,659
23.936226845,660
18.052841663,661
18.32995224,662
15.78010726,663
17.58425808,664
15.940264463,665
21.193124294,666
24.844027042,667
24.768345833,668
24.262680054,669
23.547093868,670
23.370364189,671
23.156605244,672
23.016813278,673
23.179717064,674
24.203763008,675
24.973426819,676
24.106158257,677
23.493389606,678
23.756746769,679
23.933045387,680
18.070672035,681
18.154585838,682
15.32480526,683
15.717229366,684
16.363977432,685
20.747619629,686
22.394793034,687
22.770149708,688
22.770838261,689
22.667286396,690
23.214096546,691
23.086689472,692
22.845365524,693
22.99357748,694
23.153946877,695
22.876502037,696
22.313916206,697
21.558045387,698
21.430713654,699
22.196186543,700
18.465787411,701
18.76260376,702
16.496146441,703
15.752396822,704
15.026085854,705
19.477081299,706
21.425806999,707
22.158120632,708
22.10609293,709
22.586978912,710
23.290146351,711
23.279509068,712
22.479179382,713
22.546180248,714
22.917318821,715
23.362143517,716
22.561757088,717
22.098537922,718
22.72706604,719
22.984098434,720
18.721365452,721
19.276758671,722
17.848026276,723
17.548029423,724
15.5076859,725
20.004277706,726
22.229035378,727
22.679000854,728
22.59589386,729
23.117895126,730
23.732646942,731
23.912988186,732
23.335613251,733
22.973917007,734
22.929265976,735
23.29305172,736
23.085288048,737
23.206566334,738
23.795407295,739
23.883677006,740
18.863096237,741
18.893486977,742
15.785063744,743
16.931631565,744
16.65489769,745
21.766358376,746
23.649110794,747
23.563611031,748
23.347702026,749
23.852977753,750
24.259625435,751
24.697299004,752
24.540807724,753
23.738093376,754
23.094650269,755
22.890687943,756
23.454898834,757
24.091444016,758
24.317455292,759
24.451256752,760
18.723120213,761
19.103319168,762
19.927516937,763
19.2590909,764
17.418561459,765
21.253600597,766
23.312144756,767
23.398443699,768
22.67410326,769
22.944705009,770
23.31320715,771
23.035599709,772
22.875785828,773
23.22319603,774
23.715948105,775
23.559345245,776
23.350747108,777
23.352926254,778
23.147587299,779
23.411655903,780
18.30003643,781
19.472335339,782
20.124317646,783
17.884074688,784
16.449263334,785
21.128296375,786
23.014684677,787
23.342847347,788
21.870571613,789
21.878424168,790
22.092648983,791
20.6752038,792
20.48733902,793
22.592431545,794
24.351032257,795
24.328870773,796
23.700593948,797
23.292871952,798
22.235643864,799
22.613676548,800
17.790816307,801
19.178211212,802
15.27995801,803
16.804271221,804
17.395464897,805
21.67292738,806
22.95995903,807
22.829739094,808
23.014241219,809
22.204606056,810
21.050492287,811
21.239430428,812
22.175852776,813
23.063014507,814
23.37916708,815
23.451300621,816
24.803580761,817
25.294288158,818
24.11148119,819
23.905695438,820
17.488053799,821
19.294382572,822
17.872607708,823
17.413143635,824
16.883025885,825
20.806400776,826
22.290187359,827
22.341357708,828
22.746130943,829
21.984789848,830
21.94658041,831
22.414767265,832
22.865952492,833
23.286407948,834
23.214362621,835
22.677240372,836
23.677292347,837
24.167999744,838
23.326637268,839
23.39759779,840
17.436039448,841
18.963572979,842
18.709628105,843
17.694725513,844
15.775988817,845
20.219784737,846
22.053328514,847
22.242328167,848
22.981665134,849
22.343957901,850
22.908695698,851
23.353315353,852
23.541986465,853
23.779176712,854
23.66236639,855
22.760844707,856
23.389366627,857
23.716164589,858
22.973306179,859
23.295602322,860
17.331102848,861
18.244832993,862
18.584417343,863
17.666967869,864
16.753334045,865
19.763064384,866
22.339709282,867
22.832019329,868
23.704002857,869
23.647844315,870
23.090572834,871
23.613930225,872
24.046264648,873
24.187054157,874
24.032752037,875
24.213103294,876
25.094638824,877
25.240565777,878
24.526682377,879
24.520675659,880
16.774776459,881
17.244177341,882
17.737482071,883
17.653359413,884
15.330397129,885
19.483585358,886
23.086350441,887
23.806251049,888
23.827880383,889
23.901010036,890
23.609447956,891
23.571671963,892
23.432612419,893
23.3959589,894
24.070966721,895
24.457427979,896
24.846281528,897
24.987129211,898
25.295857906,899
25.412550449,900
16.434673309,901
16.046056032,902
16.184129477,903
17.333161831,904
14.935999632,905
19.287509441,906
22.905777454,907
23.789273739,908
23.455141544,909
23.816871166,910
24.301017284,911
24.018339157,912
23.407777786,913
23.30274868,914
24.239661694,915
24.488808155,916
24.576327324,917
24.655539989,918
25.166636467,919
25.524185181,920
16.196901798,921
14.932907104,922
12.622468114,923
15.890552044,924
16.049946308,925
19.084940434,926
21.36408186,927
22.714105129,928
22.658567905,929
23.440365791,930
24.934919357,931
24.530108929,932
23.915596962,933
23.938442707,934
24.364280701,935
24.252053261,936
24.469935894,937
24.401223183,938
24.190597534,939
24.676681519,940
16.27459836,941
14.528441668,942
14.231365442,943
17.666814327,944
16.137996197,945
18.721633911,946
21.089343548,947
22.231970787,948
23.001808167,949
23.816941738,950
23.636703491,951
23.196837902,952
22.960270882,953
22.888813019,954
22.897990227,955
22.869879723,956
23.17134285,957
23.164821625,958
23.523422718,959
23.532145977,960
16.658605814,961
14.338282824,962
13.729589224,963
16.818245173,964
15.760911465,965
17.978234291,966
20.30177927,967
21.23718071,968
21.824187756,969
22.596660614,970
22.959199905,971
23.093746185,972
23.087469101,973
22.916100979,974
22.541409016,975
22.329865932,976
22.573730946,977
22.840699196,978
23.298675537,979
23.292328835,980
17.391298771,981
14.365283251,982
15.060465336,983
17.311991215,984
15.417222023,985
17.837548256,986
20.098417282,987
20.60946703,988
20.049174786,989
20.655436993,990
22.88381815,991
23.872723103,992
23.869603157,993
23.613366604,994
22.926490784,995
22.510866165,996
22.565931797,997
22.982081413,998
23.4822402,999
23.677465439,1000
17.943056583,1001
14.801194906,1002
14.424180508,1003
14.400709152,1004
13.789376259,1005
18.890300751,1006
21.471961498,1007
21.500396729,1008
20.916453362,1009
21.131569862,1010
21.705218792,1011
23.232010365,1012
23.33611393,1013
22.835105419,1014
22.127603054,1015
21.969994068,1016
21.905785561,1017
22.192115784,1018
23.141495705,1019
23.720077515,1020
18.179075241,1021
15.412653923,1022
15.071584702,1023
16.806053162,1024
13.744011402,1025
18.3702631,1026
21.213780403,1027
21.264902115,1028
20.86118412,1029
21.147230148,1030
21.519044876,1031
22.536557198,1032
22.701848984,1033
22.264988899,1034
21.613967896,1035
21.636043549,1036
21.640587807,1037
21.764540672,1038
22.41094017,1039
22.966497421,1040
18.327604294,1041
16.063942909,1042
16.183839798,1043
17.787681103,1044
12.981231451,1045
17.74157238,1046
20.754739761,1047
20.848711014,1048
20.485434532,1049
21.146084309,1050
21.778709888,1051
22.082251549,1052
22.349891663,1053
21.974383354,1054
21.369173527,1055
21.667701244,1056
21.743853569,1057
21.63131237,1058
21.611996174,1059
22.099453926,1060
17.762532711,1061
16.314126492,1062
16.825866222,1063
16.412823915,1064
13.228009224,1065
16.424936533,1066
19.642699242,1067
20.132349014,1068
19.377954006,1069
18.917234421,1070
20.403200626,1071
20.749351501,1072
20.614458084,1073
20.940083504,1074
21.24433279,1075
21.076840878,1076
21.234896183,1077
21.198334217,1078
20.887195587,1079
20.849112511,1080
17.246159077,1081
15.917452097,1082
16.827829361,1083
17.716694355,1084
12.931104898,1085
15.730670452,1086
18.658298492,1087
19.12678194,1088
18.23828125,1089
17.803993225,1090
19.432610989,1091
19.827708721,1092
19.256184578,1093
19.34233427,1094
19.773663998,1095
19.862360477,1096
20.245364666,1097
20.202251434,1098
19.727352142,1099
19.774342537,1100
17.547852516,1101
15.513526917,1102
16.663385391,1103
18.157384872,1104
10.832958937,1105
15.888581514,1106
18.071317196,1107
18.307501316,1108
17.626804352,1109
18.293716431,1110
19.553659916,1111
19.804950714,1112
18.884514809,1113
18.304375648,1114
18.399724007,1115
19.043895721,1116
19.749984741,1117
19.490156651,1118
18.80389452,1119
19.29286623,1120
17.754002571,1121
15.135492563,1122
15.840996742,1123
17.167533398,1124
13.328315735,1125
15.132041693,1126
17.024825096,1127
17.76709938,1128
17.396560669,1129
18.367797852,1130
19.06120348,1131
18.933675289,1132
19.431540489,1133
19.814932823,1134
19.649107456,1135
20.030817032,1136
20.230123043,1137
19.731674194,1138
