Extract_GALa2_dry_vol,Plot
228.622879028,307
232.139972687,308
231.778633118,309
235.758644104,310
240.809776306,311
241.677654266,312
239.419776917,313
236.470890045,314
237.376773834,315
241.319187164,316
240.714214325,317
236.027809143,318
235.297199249,319
238.427001953,320
183.970569611,321
171.85161972,322
161.837966919,323
173.525699615,324
185.282142639,325
201.819522858,326
221.621059418,327
226.901367188,328
228.131217957,329
230.899944305,330
233.392314911,331
234.571334839,332
232.907211304,333
230.633155823,334
231.493061066,335
234.824626923,336
232.425003052,337
225.204551697,338
224.379013062,339
230.523303986,340
181.054367065,341
171.701782227,342
163.253845215,343
174.946327209,344
187.207454681,345
206.868091583,346
224.694610596,347
230.991657257,348
231.516349792,349
231.104766846,350
231.13520813,351
231.692726135,352
231.548439026,353
229.830104828,354
228.458618164,355
229.862377167,356
228.400485992,357
223.608219147,358
222.677524567,359
227.449020386,360
175.072975159,361
170.022312164,362
163.688930511,363
173.575042725,364
186.407562256,365
209.124958038,366
228.637783051,367
235.761405945,368
234.974712372,369
232.021141052,370
229.733181,371
230.430347443,372
231.007011414,373
228.338134766,374
224.46572876,375
225.133693695,376
227.390491486,377
226.849559784,378
227.17483902,379
228.834617615,380
168.297252655,381
166.062618256,382
163.127166748,383
177.550487518,384
188.304676056,385
206.365200043,386
223.489463806,387
230.35609436,388
230.963680267,389
227.811233521,390
224.571468353,391
225.371437073,392
225.755714417,393
224.184944153,394
220.325847626,395
220.258609772,396
223.884738922,397
227.113044739,398
230.420761108,399
232.566139221,400
164.80859375,401
163.611156464,402
165.176929474,403
186.283756256,404
201.403743744,405
212.301013947,406
222.042461395,407
225.68964386,408
225.853736877,409
225.142925262,410
225.042255402,411
227.649944305,412
229.519500732,413
229.646335602,414
227.544261932,415
224.600070953,416
224.610736847,417
228.308570862,418
233.616733551,419
236.574134827,420
162.09405899,421
160.79434967,422
170.747951508,423
195.968727112,424
210.184520721,425
219.024906158,426
225.22467804,427
225.730064392,428
224.558403015,429
225.646957397,430
229.184135437,431
234.265274048,432
237.013687134,433
238.652118683,434
237.920585632,435
233.912204742,436
230.876899719,437
232.044265747,438
235.060180664,439
237.120105743,440
156.400657654,441
155.441539764,442
169.944545746,443
189.665771484,444
201.18611145,445
215.951808929,446
226.858734131,447
228.884593964,448
228.026615143,449
229.213401794,450
233.015762329,451
237.451526642,452
239.586616516,453
240.810230255,454
242.14453125,455
240.06697464,456
237.407337189,457
236.091415405,458
235.439193726,459
232.85502243,460
149.851696014,461
147.758571625,462
154.566085815,463
170.57882309,464
182.137306213,465
203.822937012,466
221.890350342,467
228.154045105,468
230.517406464,469
233.118858337,470
237.352394104,471
242.036560059,472
243.905853271,473
244.202445984,474
