Extract_elev_2020,Plot
1158.026824951,250
1157.699157715,251
1157.262420654,252
1156.976745605,253
1156.644561768,254
1156.136352539,255
1155.688201904,256
1155.175018311,257
1154.726226807,258
1154.284118652,259
1153.866821289,260
1156.014678955,261
1155.306396484,262
1154.824768066,263
1155.834564209,264
1157.399353027,265
1158.604095459,266
1158.475799561,267
1158.221984863,268
1157.978118896,269
1157.715270996,270
1157.351715088,271
1156.924560547,272
1156.571716309,273
1156.189178467,274
1155.727935791,275
1155.253601074,276
1154.788146973,277
1154.355529785,278
1153.890991211,279
1153.479064941,280
1156.05859375,281
1155.398956299,282
1154.896148682,283
1155.793823242,284
1157.108947754,285
1158.045043945,286
1158.09866333,287
1157.849304199,288
1157.616027832,289
1157.356506348,290
1156.989715576,291
1156.589935303,292
1156.239929199,293
1155.893188477,294
1155.393218994,295
1154.905853271,296
1154.420562744,297
1153.942657471,298
1153.468048096,299
1153.008239746,300
1156.099060059,301
1155.494598389,302
1155.011047363,303
1155.933746338,304
1157.26449585,305
1157.970611572,306
1157.825622559,307
1157.55279541,308
1157.311004639,309
1157.020446777,310
1156.691467285,311
1156.373016357,312
1156.078125,313
1155.739929199,314
1155.232269287,315
1154.699066162,316
1154.140533447,317
1153.604064941,318
1153.040649414,319
1152.560638428,320
1156.069335938,321
1155.542205811,322
1155.213623047,323
1156.088348389,324
1157.265594482,325
1157.945373535,326
1157.739929199,327
1157.447143555,328
1157.15246582,329
1156.880249023,330
1156.589416504,331
1156.279449463,332
1155.99206543,333
1155.684844971,334
1155.179962158,335
1154.588775635,336
1154.029022217,337
1153.401824951,338
1152.813201904,339
1152.281555176,340
1156.120330811,341
1155.719085693,342
1155.097351074,343
1156.052734375,344
1157.29776001,345
1158.080688477,346
1157.879119873,347
1157.572021484,348
1157.283599854,349
1156.986419678,350
1156.681945801,351
1156.34564209,352
1156.029602051,353
1155.733093262,354
1155.248352051,355
1154.677642822,356
1154.056762695,357
1153.455047607,358
1152.864318848,359
1152.32144165,360
1156.090698242,361
1155.53817749,362
1155.155822754,363
1156.358093262,364
1157.659973145,365
1158.48626709,366
1158.374938965,367
1158.055389404,368
1157.738861084,369
1157.461273193,370
1157.127471924,371
1156.783203125,372
1156.476928711,373
1156.117401123,374
1155.556884766,375
1155.022949219,376
1154.396057129,377
1153.79119873,378
1153.188354492,379
1152.637359619,380
1156.151092529,381
1155.451660156,382
1155.24307251,383
1156.258483887,384
1158.035491943,385
1159.066833496,386
1158.928009033,387
1158.589416504,388
1158.299530029,389
1157.95980835,390
1157.617980957,391
1157.179016113,392
1156.85333252,393
1156.469238281,394
1155.926513672,395
1155.287750244,396
1154.686431885,397
1154.077850342,398
1153.482849121,399
1152.905517578,400
1156.206573486,401
1155.693969727,402
1155.464599609,403
1156.872192383,404
1158.311828613,405
1159.303466797,406
1159.022674561,407
1158.717803955,408
1158.378204346,409
1158.023956299,410
1157.661407471,411
1157.240814209,412
1156.851318359,413
1156.472442627,414
1155.846923828,415
1155.239379883,416
1154.633636475,417
1154.001800537,418
1153.44720459,419
1152.865631104,420
1156.31552124,421
1155.870910645,422
1155.628479004,423
1156.916687012,424
1158.390777588,425
1158.961486816,426
1158.64239502,427
1158.28918457,428
1157.912841797,429
1157.534210205,430
1157.068237305,431
1156.599365234,432
1156.24432373,433
1155.782928467,434
1155.258544922,435
1154.650909424,436
1154.04977417,437
1153.478912354,438
1152.884674072,439
1152.348846436,440
1156.258026123,441
1155.790985107,442
1155.57144165,443
1156.644775391,444
1157.906097412,445
1158.500030518,446
1158.175170898,447
1157.773406982,448
1157.359680176,449
1156.90536499,450
1156.442871094,451
1155.909729004,452
1155.503234863,453
1155.144348145,454
1154.573425293,455
1154.033691406,456
1153.485870361,457
1152.918457031,458
1152.408233643,459
1151.894683838,460
1156.278167725,461
1155.652679443,462
1155.328460693,463
1156.312042236,464
1157.329925537,465
1157.9793396,466
1157.892913818,467
1157.457885742,468
1156.995422363,469
1156.551574707,470
1156.019470215,471
1155.494049072,472
1155.127258301,473
1154.703796387,474
1154.179870605,475
1153.656921387,476
1153.135650635,477
1152.662780762,478
1152.154968262,479
1151.666503906,480
1156.28125,481
1155.665893555,482
1155.644470215,483
1156.341796875,484
1157.359313965,485
1157.94732666,486
1157.779907227,487
1157.312683105,488
1156.844604492,489
1156.307373047,490
1155.790649414,491
1155.3046875,492
1154.835693359,493
1154.480163574,494
1153.980651855,495
1153.410217285,496
1152.979370117,497
1152.492126465,498
1152.030212402,499
1151.561706543,500
1156.361572266,501
1155.873901367,502
1155.747375488,503
1156.676818848,504
1157.583953857,505
1158.163208008,506
1157.794189453,507
1157.301452637,508
1156.779144287,509
1156.234558105,510
1155.691040039,511
1155.109375,512
1154.716186523,513
1154.319702148,514
1153.801696777,515
1153.315063477,516
1152.820404053,517
1152.340118408,518
1151.896972656,519
1151.5027771,520
1156.32635498,521
1155.967529297,522
1155.768341064,523
1156.728210449,524
1157.653045654,525
1158.311767578,526
1157.943786621,527
1157.409057617,528
1156.843902588,529
