Extract_GALa_Moi,Plot
15.644502163,326
15.675703049,327
15.507494609,328
15.358558496,329
15.148951054,330
15.142927647,331
15.061807791,332
15.078894615,333
15.120692253,334
15.208304882,335
15.362918218,336
15.363621235,337
15.226484458,338
15.049787839,339
14.984884739,340
15.009354273,341
14.985021114,342
14.828312079,343
14.547423999,344
14.316925049,345
14.167189598,346
14.119428794,347
14.052641392,348
13.979672909,349
13.971436818,350
13.840021133,351
13.649271488,352
15.753824446,353
15.750272327,354
15.743910895,355
15.643860075,356
15.655556467,357
15.672341347,358
15.699689547,359
15.562134849,360
15.409983211,361
15.214293798,362
15.197166867,363
15.131304211,364
15.180787881,365
15.234647221,366
15.297410965,367
15.414209048,368
15.393375927,369
15.255923483,370
15.060938623,371
14.997502804,372
14.998336686,373
14.980955124,374
14.832766639,375
14.557606697,376
14.30499861,377
14.147521337,378
14.103796429,379
14.057996008,380
13.996549077,381
14.002856255,382
13.878998227,383
13.698838658,384
15.770071877,385
15.762426906,386
15.734453307,387
15.638278961,388
15.653375838,389
15.67841657,390
15.718784332,391
15.593258328,392
15.474703471,393
15.287947337,394
15.258913676,395
15.220219294,396
15.320392927,397
15.38071696,398
15.400550842,399
15.45947255,400
15.407685916,401
15.288156297,402
15.096028328,403
15.017891884,404
14.995979309,405
14.968823645,406
14.830452071,407
14.554061572,408
14.287580066,409
14.130056063,410
14.07540671,411
14.057255215,412
14.022299343,413
14.052747832,414
13.937630335,415
13.756095356,416
15.784680261,417
15.769970894,418
15.719141218,419
15.622482088,420
15.649101575,421
15.677546501,422
15.721085231,423
15.600484424,424
15.505498886,425
15.343450228,426
15.306625048,427
15.297925101,428
15.434706847,429
15.513059722,430
15.496082942,431
15.470694648,432
15.39761734,433
15.30319447,434
15.13517242,435
15.060391108,436
14.996512519,437
14.955681907,438
14.818702804,439
14.557950444,440
14.264507929,441
14.114275138,442
14.045184241,443
14.057943238,444
14.051769998,445
14.086639722,446
13.971203062,447
13.786335839,448
15.776282628,449
15.764185905,450
15.705375565,451
15.612495952,452
15.660756535,453
15.689146148,454
15.720216115,455
15.607386271,456
15.526061164,457
15.361850844,458
15.328198539,459
15.342216386,460
15.499483109,461
15.591109064,462
15.555348184,463
15.470423486,464
15.376193153,465
15.31334983,466
15.190183322,467
15.111115456,468
15.004759471,469
14.955002255,470
14.799173037,471
14.563963148,472
14.251949946,473
14.101013978,474
14.016833623,475
14.049878438,476
14.087448226,477
14.133808666,478
14.008719974,479
13.812848303,480
15.751240095,481
15.73804707,482
15.696035067,483
15.617933591,484
15.686704848,485
15.718990856,486
15.725966612,487
15.616761102,488
15.543518914,489
15.39469507,490
15.354191992,491
15.372767554,492
15.543875217,493
15.634330326,494
15.585668564,495
15.467188517,496
15.369219356,497
15.334329499,498
15.251579391,499
15.147561391,500
15.018966463,501
14.958514743,502
14.783610556,503
14.576958762,504
14.251571973,505
14.117233117,506
14.005284521,507
14.063098272,508
14.11862776,509
14.178173595,510
14.047489166,511
13.84627925,512
15.741976738,513
15.730296135,514
15.697831313,515
15.621838411,516
15.723651886,517
15.757667383,518
15.751816511,519
15.621577899,520
15.558790366,521
15.421274821,522
15.366162618,523
15.396802425,524
15.561957121,525
15.648901622,526
15.594514847,527
15.468523343,528
15.405385971,529
15.397805532,530
15.305294355,531
15.215217113,532
15.026851972,533
14.967374961,534
