Plot,Dry_yld_22
602,14620.199679905
603,14685.630642361
604,14779.912462023
605,14829.001074219
606,14844.726264106
607,14682.979817708
608,14464.843451606
609,14402.219726563
610,14498.694797092
611,14654.451551649
612,14687.465332031
613,14568.022233073
614,14367.208767361
615,14331.514322917
616,14462.193603516
617,14462.247200521
618,14287.627441406
619,14038.405653212
620,13722.529324002
621,13983.683463542
622,14353.572699653
623,14528.096733941
624,14607.27047526
625,14699.383056641
626,14684.460123698
627,14499.312527127
628,14330.466992187
629,14334.900716146
630,14471.15866428
631,14639.921251085
632,14645.00703125
633,14543.32695855
634,14530.20071072
635,14611.411078559
636,14745.150813802
637,14856.119520399
638,14703.64992947
639,14424.547173394
640,14335.753450521
641,14416.120524089
642,14587.527587891
643,14778.82280816
644,14736.167415365
645,14543.679199219
646,14462.150906033
647,14511.699435764
648,14440.458984375
649,14214.253119575
650,14001.769721137
651,13717.315700955
652,13772.580110677
653,14265.072645399
654,14421.447292752
655,14449.705110677
656,14563.700032552
657,14550.77468533
658,14333.194797092
659,14222.591927083
660,14368.196424696
661,14592.690538194
662,14755.548855252
663,14689.683170573
664,14554.111002604
665,14486.674018012
666,14564.877197266
667,14737.743294271
668,14849.211751302
669,14644.414632161
670,14337.656955295
671,14292.546028646
672,14367.549099392
673,14554.35555013
674,14854.532823351
675,14882.402473958
676,14664.260687934
677,14568.92727322
678,14495.288113064
679,14365.396875
680,14176.544352214
681,13978.585205078
682,13688.515923394
683,13414.830039063
684,14021.6453125
685,14232.060904948
686,14261.410273438
687,14386.452929687
688,14454.975748698
689,14261.287988281
690,14239.982734375
691,14444.735416667
692,14707.658854167
693,14806.966210938
694,14692.779414063
695,14597.874772135
696,14626.959277344
697,14704.539648437
698,14805.714414063
699,14821.264029948
700,14549.968554688
701,14252.938248698
702,14212.379335937
703,14304.287174479
704,14500.921809896
705,14781.265039063
706,14853.077539062
707,14701.608072917
708,14612.28343099
709,14497.557161458
710,14330.929414062
711,14158.570572917
712,13932.170833333
713,13586.700976562
714,12886.258821615
715,13714.533013238
