OID_,FID,X,Y,Extract_GALa2_dry_vol
186,185,-93.539280810000008,44.065453569999981,180.647518157999997
187,186,-93.539280810000008,44.065414969999992,185.303890228000000
188,187,-93.539280810000008,44.065376369999996,178.454170226999992
189,188,-93.539280810000008,44.065337769999999,168.074195862000010
190,189,-93.539280810000008,44.065299169999989,160.792793273999990
191,190,-93.539280810000008,44.065260569999992,157.953723907000011
192,191,-93.539280810000008,44.065221970000003,164.262451171999999
193,192,-93.539280810000008,44.065183370000000,173.512695312000005
194,193,-93.539280810000008,44.065144769999989,185.207180023000006
195,194,-93.539280810000008,44.065106169999993,203.862815856999987
196,195,-93.539280810000008,44.065067569999997,217.361087798999989
197,196,-93.539280810000008,44.065028970000000,224.149600982999999
198,197,-93.539280810000008,44.064990369999990,225.753631592000005
199,198,-93.539280810000008,44.064951769999986,226.352336884000010
200,199,-93.539280810000008,44.064913169999997,227.909950256000002
201,200,-93.539242209999998,44.065646569999991,189.706611632999994
202,201,-93.539242209999998,44.065607969999988,184.037948607999994
203,202,-93.539242209999998,44.065569369999992,167.598167418999992
204,203,-93.539242209999998,44.065530769999995,163.944885254000013
205,204,-93.539242209999998,44.065492169999999,166.364723206000008
206,205,-93.539242209999998,44.065453569999981,177.573738098000007
207,206,-93.539242209999998,44.065414969999992,193.586761475000003
208,207,-93.539242209999998,44.065376369999996,194.520317078000005
209,208,-93.539242209999998,44.065337769999999,186.636192321999999
210,209,-93.539242209999998,44.065299169999989,180.197746276999993
211,210,-93.539242209999998,44.065260569999992,177.133117676000012
212,211,-93.539242209999998,44.065221970000003,181.729034423999991
213,212,-93.539242209999998,44.065183370000000,187.292007446000014
214,213,-93.539242209999998,44.065144769999989,199.255798340000013
215,214,-93.539242209999998,44.065106169999993,211.998939514000000
216,215,-93.539242209999998,44.065067569999997,218.503089904999996
217,216,-93.539242209999998,44.065028970000000,220.975280762000011
218,217,-93.539242209999998,44.064990369999990,221.876235962000010
219,218,-93.539242209999998,44.064951769999986,222.213775634999990
220,219,-93.539242209999998,44.064913169999997,222.728973389000004
221,220,-93.539203609999987,44.065646569999991,189.302360534999991
222,221,-93.539203609999987,44.065607969999988,185.438354492000002
223,222,-93.539203609999987,44.065569369999992,170.324558257999996
224,223,-93.539203609999987,44.065530769999995,164.038757323999988
225,224,-93.539203609999987,44.065492169999999,167.687274932999998
226,225,-93.539203609999987,44.065453569999981,184.386898040999995
227,226,-93.539203609999987,44.065414969999992,207.514076232999997
228,227,-93.539203609999987,44.065376369999996,213.939746856999989
