OID_,FID,X,Y,Extract_GALa2_dry_mass
72,71,-93.539512409999986,44.065221970000003,12469.818603515999712
73,72,-93.539512409999986,44.065183370000000,12478.256835938000222
74,73,-93.539512409999986,44.065144769999989,12416.044677734000288
75,74,-93.539512409999986,44.065106169999993,12445.774169922000510
76,75,-93.539512409999986,44.065067569999997,12422.688720702999490
77,76,-93.539512409999986,44.065028970000000,12361.787353515999712
78,77,-93.539512409999986,44.064990369999990,12336.224853515999712
79,78,-93.539512409999986,44.064951769999986,12343.601074218999202
80,79,-93.539512409999986,44.064913169999997,12261.862548827999490
81,80,-93.539473810000004,44.065646569999991,10589.249023438000222
82,81,-93.539473810000004,44.065607969999988,10009.681884765999712
83,82,-93.539473810000004,44.065569369999992,9812.193603515999712
84,83,-93.539473810000004,44.065530769999995,10412.796875000000000
85,84,-93.539473810000004,44.065492169999999,11161.491943359000288
86,85,-93.539473810000004,44.065453569999981,12143.588623047000510
87,86,-93.539473810000004,44.065414969999992,12763.230957031000798
88,87,-93.539473810000004,44.065376369999996,12960.305175781000798
89,88,-93.539473810000004,44.065337769999999,12807.505615234000288
90,89,-93.539473810000004,44.065299169999989,12619.651367188000222
91,90,-93.539473810000004,44.065260569999992,12632.665283202999490
92,91,-93.539473810000004,44.065221970000003,12749.090576172000510
93,92,-93.539473810000004,44.065183370000000,12760.339843750000000
94,93,-93.539473810000004,44.065144769999989,12778.502929688000222
95,94,-93.539473810000004,44.065106169999993,12767.715576172000510
96,95,-93.539473810000004,44.065067569999997,12670.127197265999712
97,96,-93.539473810000004,44.065028970000000,12599.442382811999778
98,97,-93.539473810000004,44.064990369999990,12674.907714843999202
99,98,-93.539473810000004,44.064951769999986,12675.529541015999712
100,99,-93.539473810000004,44.064913169999997,12463.730957031000798
101,100,-93.539435209999994,44.065646569999991,10678.294921875000000
102,101,-93.539435209999994,44.065607969999988,10048.247802734000288
103,102,-93.539435209999994,44.065569369999992,9490.776123047000510
104,103,-93.539435209999994,44.065530769999995,10222.312500000000000
105,104,-93.539435209999994,44.065492169999999,11536.835449218999202
106,105,-93.539435209999994,44.065453569999981,12497.378906250000000
107,106,-93.539435209999994,44.065414969999992,12823.754882811999778
108,107,-93.539435209999994,44.065376369999996,12837.029296875000000
109,108,-93.539435209999994,44.065337769999999,12676.742919922000510
110,109,-93.539435209999994,44.065299169999989,12513.975830077999490
111,110,-93.539435209999994,44.065260569999992,12552.711425781000798
112,111,-93.539435209999994,44.065221970000003,12706.098632811999778
113,112,-93.539435209999994,44.065183370000000,12762.198730468999202
114,113,-93.539435209999994,44.065144769999989,12778.079101561999778
115,114,-93.539435209999994,44.065106169999993,12791.555908202999490
116,115,-93.539435209999994,44.065067569999997,12718.295410156000798
117,116,-93.539435209999994,44.065028970000000,12745.463623047000510
118,117,-93.539435209999994,44.064990369999990,12973.000976561999778
119,118,-93.539435209999994,44.064951769999986,12980.721679688000222
120,119,-93.539435209999994,44.064913169999997,12654.991943359000288
121,120,-93.539396609999983,44.065646569999991,10721.631347656000798
122,121,-93.539396609999983,44.065607969999988,10060.762939452999490
123,122,-93.539396609999983,44.065569369999992,9333.718261718999202
124,123,-93.539396609999983,44.065530769999995,10145.169433593999202
125,124,-93.539396609999983,44.065492169999999,11744.811279297000510
126,125,-93.539396609999983,44.065453569999981,12393.049072265999712
127,126,-93.539396609999983,44.065414969999992,12391.303466797000510
128,127,-93.539396609999983,44.065376369999996,12130.628906250000000
129,128,-93.539396609999983,44.065337769999999,11953.484619140999712
130,129,-93.539396609999983,44.065299169999989,11647.149902343999202
131,130,-93.539396609999983,44.065260569999992,11714.197753906000798
132,131,-93.539396609999983,44.065221970000003,11941.491210938000222
133,132,-93.539396609999983,44.065183370000000,12024.330078125000000
134,133,-93.539396609999983,44.065144769999989,12047.782470702999490
135,134,-93.539396609999983,44.065106169999993,12136.742187500000000
136,135,-93.539396609999983,44.065067569999997,12314.725341797000510
137,136,-93.539396609999983,44.065028970000000,12596.323974609000288
138,137,-93.539396609999983,44.064990369999990,12913.482910156000798
139,138,-93.539396609999983,44.064951769999986,12978.301513672000510
140,139,-93.539396609999983,44.064913169999997,12694.908691406000798
141,140,-93.539358010000001,44.065646569999991,10696.341552734000288
142,141,-93.539358010000001,44.065607969999988,10058.039306640999712
143,142,-93.539358010000001,44.065569369999992,9313.454345702999490
144,143,-93.539358010000001,44.065530769999995,9786.468261718999202
145,144,-93.539358010000001,44.065492169999999,10664.757568359000288
146,145,-93.539358010000001,44.065453569999981,11317.382812500000000
147,146,-93.539358010000001,44.065414969999992,11213.559326172000510
148,147,-93.539358010000001,44.065376369999996,10907.442626952999490
149,148,-93.539358010000001,44.065337769999999,10497.005371093999202
150,149,-93.539358010000001,44.065299169999989,10135.174560547000510
151,150,-93.539358010000001,44.065260569999992,9931.403808593999202
152,151,-93.539358010000001,44.065221970000003,10035.202880859000288
153,152,-93.539358010000001,44.065183370000000,10197.837890625000000
154,153,-93.539358010000001,44.065144769999989,10454.230712890999712
155,154,-93.539358010000001,44.065106169999993,11121.493896484000288
156,155,-93.539358010000001,44.065067569999997,12001.542968750000000
157,156,-93.539358010000001,44.065028970000000,12579.003662109000288
158,157,-93.539358010000001,44.064990369999990,12865.192871093999202
159,158,-93.539358010000001,44.064951769999986,12950.137451172000510
160,159,-93.539358010000001,44.064913169999997,12903.295166015999712
161,160,-93.539319409999990,44.065646569999991,10658.325195311999778
162,161,-93.539319409999990,44.065607969999988,10139.137695311999778
163,162,-93.539319409999990,44.065569369999992,9364.463623047000510
164,163,-93.539319409999990,44.065530769999995,9695.279541015999712
165,164,-93.539319409999990,44.065492169999999,10222.066162109000288
166,165,-93.539319409999990,44.065453569999981,10361.457763672000510
167,166,-93.539319409999990,44.065414969999992,10426.966308593999202
168,167,-93.539319409999990,44.065376369999996,9958.488769531000798
169,168,-93.539319409999990,44.065337769999999,9340.435546875000000
170,169,-93.539319409999990,44.065299169999989,8892.000732422000510
171,170,-93.539319409999990,44.065260569999992,8649.393798827999490
172,171,-93.539319409999990,44.065221970000003,8850.091552734000288
173,172,-93.539319409999990,44.065183370000000,9292.751953125000000
174,173,-93.539319409999990,44.065144769999989,9825.512695311999778
175,174,-93.539319409999990,44.065106169999993,10866.769531250000000
176,175,-93.539319409999990,44.065067569999997,12029.421386718999202
177,176,-93.539319409999990,44.065028970000000,12618.005859375000000
178,177,-93.539319409999990,44.064990369999990,12820.316406250000000
179,178,-93.539319409999990,44.064951769999986,12890.608642577999490
180,179,-93.539319409999990,44.064913169999997,12968.583740234000288
181,180,-93.539280810000008,44.065646569999991,10644.606933593999202
182,181,-93.539280810000008,44.065607969999988,10237.915039061999778
183,182,-93.539280810000008,44.065569369999992,9387.666992188000222
