OID_,FID,X,Y,Extract_GALa1_crp_fw_v
147,146,-93.539358010000001,44.065414969999992,1454.781372070000089
148,147,-93.539358010000001,44.065376369999996,1388.150512695000089
149,148,-93.539358010000001,44.065337769999999,1331.883300780999889
150,149,-93.539358010000001,44.065299169999989,1284.805541991999917
151,150,-93.539358010000001,44.065260569999992,1243.595672607000097
152,151,-93.539358010000001,44.065221970000003,1245.069244385000047
153,152,-93.539358010000001,44.065183370000000,1245.500732422000056
154,153,-93.539358010000001,44.065144769999989,1253.199981688999969
155,154,-93.539358010000001,44.065106169999993,1378.108978271000069
156,155,-93.539358010000001,44.065067569999997,1501.844146728999931
157,156,-93.539358010000001,44.065028970000000,1602.970245361000025
158,157,-93.539358010000001,44.064990369999990,1631.367279052999947
159,158,-93.539358010000001,44.064951769999986,1642.103027344000111
160,159,-93.539358010000001,44.064913169999997,1670.383056640999939
161,160,-93.539319409999990,44.065646569999991,1270.489990234000061
162,161,-93.539319409999990,44.065607969999988,1264.625640869000108
163,162,-93.539319409999990,44.065569369999992,1003.104248047000056
164,163,-93.539319409999990,44.065530769999995,1187.711608887000011
165,164,-93.539319409999990,44.065492169999999,1109.627380371000072
166,165,-93.539319409999990,44.065453569999981,1280.775634765999939
167,166,-93.539319409999990,44.065414969999992,1362.567138672000056
168,167,-93.539319409999990,44.065376369999996,1295.810394287000008
169,168,-93.539319409999990,44.065337769999999,1191.125610351999967
170,169,-93.539319409999990,44.065299169999989,1083.878448486000025
171,170,-93.539319409999990,44.065260569999992,1027.553497313999969
172,171,-93.539319409999990,44.065221970000003,1068.310272216999920
173,172,-93.539319409999990,44.065183370000000,1137.686035155999889
174,173,-93.539319409999990,44.065144769999989,1231.843353271000069
175,174,-93.539319409999990,44.065106169999993,1416.143951415999936
176,175,-93.539319409999990,44.065067569999997,1596.879333496000072
177,176,-93.539319409999990,44.065028970000000,1697.440307616999917
178,177,-93.539319409999990,44.064990369999990,1711.043518065999933
179,178,-93.539319409999990,44.064951769999986,1709.839233398000033
180,179,-93.539319409999990,44.064913169999997,1738.937835692999897
181,180,-93.539280810000008,44.065646569999991,1277.013488770000095
182,181,-93.539280810000008,44.065607969999988,1278.173950195000089
183,182,-93.539280810000008,44.065569369999992,1014.751037598000039
184,183,-93.539280810000008,44.065530769999995,1137.587829589999956
185,184,-93.539280810000008,44.065492169999999,1070.768157959000064
186,185,-93.539280810000008,44.065453569999981,1254.512664795000092
187,186,-93.539280810000008,44.065414969999992,1364.171264648000033
188,187,-93.539280810000008,44.065376369999996,1336.550201415999936
189,188,-93.539280810000008,44.065337769999999,1234.890441895000095
190,189,-93.539280810000008,44.065299169999989,1102.009796142999903
191,190,-93.539280810000008,44.065260569999992,1048.738830565999933
192,191,-93.539280810000008,44.065221970000003,1141.280090332000100
193,192,-93.539280810000008,44.065183370000000,1269.561950684000067
194,193,-93.539280810000008,44.065144769999989,1380.960876464999956
195,194,-93.539280810000008,44.065106169999993,1519.970642089999956
196,195,-93.539280810000008,44.065067569999997,1667.513610839999956
197,196,-93.539280810000008,44.065028970000000,1748.617462158000080
198,197,-93.539280810000008,44.064990369999990,1765.066711425999983
199,198,-93.539280810000008,44.064951769999986,1752.448364258000083
200,199,-93.539280810000008,44.064913169999997,1755.289215087999992
201,200,-93.539242209999998,44.065646569999991,1271.827941895000095
202,201,-93.539242209999998,44.065607969999988,1294.919616699000017
203,202,-93.539242209999998,44.065569369999992,1038.484436035000044
204,203,-93.539242209999998,44.065530769999995,1083.326354979999905
205,204,-93.539242209999998,44.065492169999999,917.204376220999961
206,205,-93.539242209999998,44.065453569999981,1207.199279785000044
207,206,-93.539242209999998,44.065414969999992,1435.832946776999961
208,207,-93.539242209999998,44.065376369999996,1434.447082520000095
209,208,-93.539242209999998,44.065337769999999,1362.683776854999905
210,209,-93.539242209999998,44.065299169999989,1311.308959961000028
211,210,-93.539242209999998,44.065260569999992,1256.246887207000100
212,211,-93.539242209999998,44.065221970000003,1256.356628417999900
213,212,-93.539242209999998,44.065183370000000,1327.512451172000056
214,213,-93.539242209999998,44.065144769999989,1425.196899413999972
215,214,-93.539242209999998,44.065106169999993,1531.345825195000089
216,215,-93.539242209999998,44.065067569999997,1595.602966309000067
217,216,-93.539242209999998,44.065028970000000,1605.407287598000039
218,217,-93.539242209999998,44.064990369999990,1627.528198241999917
219,218,-93.539242209999998,44.064951769999986,1645.605407714999956
220,219,-93.539242209999998,44.064913169999997,1645.611816405999889
221,220,-93.539203609999987,44.065646569999991,1253.789123535000044
222,221,-93.539203609999987,44.065607969999988,1334.239074707000100
223,222,-93.539203609999987,44.065569369999992,1087.424011229999905
224,223,-93.539203609999987,44.065530769999995,1043.206756591999920
225,224,-93.539203609999987,44.065492169999999,890.959121704000040
226,225,-93.539203609999987,44.065453569999981,1252.447357177999947
227,226,-93.539203609999987,44.065414969999992,1551.129364013999975
228,227,-93.539203609999987,44.065376369999996,1598.353790283000080
229,228,-93.539203609999987,44.065337769999999,1551.068115234000061
230,229,-93.539203609999987,44.065299169999989,1512.288696288999972
231,230,-93.539203609999987,44.065260569999992,1475.353240966999920
232,231,-93.539203609999987,44.065221970000003,1463.572753905999889
233,232,-93.539203609999987,44.065183370000000,1475.839416503999928
234,233,-93.539203609999987,44.065144769999989,1527.393218994000108
