OID_,FID,X,Y,Extract_GALa2_moist
75,74,-93.539512409999986,44.065106169999993,18.033841610000000
76,75,-93.539512409999986,44.065067569999997,18.058579444999999
77,76,-93.539512409999986,44.065028970000000,18.049103259999999
78,77,-93.539512409999986,44.064990369999990,17.976377964000001
79,78,-93.539512409999986,44.064951769999986,17.899495125000001
80,79,-93.539512409999986,44.064913169999997,17.840139389000001
81,80,-93.539473810000004,44.065646569999991,17.233131885999999
82,81,-93.539473810000004,44.065607969999988,17.427486897000001
83,82,-93.539473810000004,44.065569369999992,17.801770687000001
84,83,-93.539473810000004,44.065530769999995,18.078628063000000
85,84,-93.539473810000004,44.065492169999999,18.146774769000000
86,85,-93.539473810000004,44.065453569999981,18.123139857999998
87,86,-93.539473810000004,44.065414969999992,18.110765456999999
88,87,-93.539473810000004,44.065376369999996,18.126797675999999
89,88,-93.539473810000004,44.065337769999999,18.118669987000001
90,89,-93.539473810000004,44.065299169999989,18.088139056999999
91,90,-93.539473810000004,44.065260569999992,18.045600413999999
92,91,-93.539473810000004,44.065221970000003,18.003872870999999
93,92,-93.539473810000004,44.065183370000000,17.981896400000000
94,93,-93.539473810000004,44.065144769999989,17.979193210999998
95,94,-93.539473810000004,44.065106169999993,18.012439251000000
96,95,-93.539473810000004,44.065067569999997,18.041949749000000
97,96,-93.539473810000004,44.065028970000000,18.028317928000000
98,97,-93.539473810000004,44.064990369999990,17.996917724999999
99,98,-93.539473810000004,44.064951769999986,17.939359188000001
100,99,-93.539473810000004,44.064913169999997,17.909067630999999
101,100,-93.539435209999994,44.065646569999991,17.205594540000000
102,101,-93.539435209999994,44.065607969999988,17.379160404000000
103,102,-93.539435209999994,44.065569369999992,17.723694801000001
104,103,-93.539435209999994,44.065530769999995,17.953718662000000
105,104,-93.539435209999994,44.065492169999999,18.006242275000002
106,105,-93.539435209999994,44.065453569999981,17.947201729000000
107,106,-93.539435209999994,44.065414969999992,18.019711017999999
108,107,-93.539435209999994,44.065376369999996,18.077318192000000
109,108,-93.539435209999994,44.065337769999999,18.097309589000002
110,109,-93.539435209999994,44.065299169999989,18.094249249000001
111,110,-93.539435209999994,44.065260569999992,18.059005737000000
112,111,-93.539435209999994,44.065221970000003,18.022163868000000
113,112,-93.539435209999994,44.065183370000000,17.996428490000000
114,113,-93.539435209999994,44.065144769999989,17.981533527000000
115,114,-93.539435209999994,44.065106169999993,17.985031605000000
116,115,-93.539435209999994,44.065067569999997,17.986696720000001
117,116,-93.539435209999994,44.065028970000000,17.961085795999999
118,117,-93.539435209999994,44.064990369999990,17.933492183999999
119,118,-93.539435209999994,44.064951769999986,17.922848700999999
120,119,-93.539435209999994,44.064913169999997,17.955239295999998
121,120,-93.539396609999983,44.065646569999991,17.177191734000001
122,121,-93.539396609999983,44.065607969999988,17.328242779000000
123,122,-93.539396609999983,44.065569369999992,17.684485912000000
124,123,-93.539396609999983,44.065530769999995,17.867553710999999
125,124,-93.539396609999983,44.065492169999999,17.737205504999999
126,125,-93.539396609999983,44.065453569999981,17.541413306999999
127,126,-93.539396609999983,44.065414969999992,17.655717849999998
128,127,-93.539396609999983,44.065376369999996,17.780449390000001
129,128,-93.539396609999983,44.065337769999999,17.879502772999999
130,129,-93.539396609999983,44.065299169999989,17.925428391000001
131,130,-93.539396609999983,44.065260569999992,17.969346522999999
132,131,-93.539396609999983,44.065221970000003,17.992768764000001
133,132,-93.539396609999983,44.065183370000000,18.012159348000001
134,133,-93.539396609999983,44.065144769999989,18.023024559000000
135,134,-93.539396609999983,44.065106169999993,18.025795460000001
136,135,-93.539396609999983,44.065067569999997,18.001968861000002
137,136,-93.539396609999983,44.065028970000000,17.949945450000001
138,137,-93.539396609999983,44.064990369999990,17.894759178000001
139,138,-93.539396609999983,44.064951769999986,17.903577328000001
140,139,-93.539396609999983,44.064913169999997,17.974556446000001
141,140,-93.539358010000001,44.065646569999991,17.153731346000001
142,141,-93.539358010000001,44.065607969999988,17.293792247999999
143,142,-93.539358010000001,44.065569369999992,17.644383430000001
144,143,-93.539358010000001,44.065530769999995,17.762718677999999
145,144,-93.539358010000001,44.065492169999999,17.530435562000001
146,145,-93.539358010000001,44.065453569999981,17.212509154999999
147,146,-93.539358010000001,44.065414969999992,17.198479175999999
148,147,-93.539358010000001,44.065376369999996,17.345620631999999
149,148,-93.539358010000001,44.065337769999999,17.491091728000001
150,149,-93.539358010000001,44.065299169999989,17.591420650000000
151,150,-93.539358010000001,44.065260569999992,17.652628421999999
152,151,-93.539358010000001,44.065221970000003,17.734528064999999
153,152,-93.539358010000001,44.065183370000000,17.761787415000001
154,153,-93.539358010000001,44.065144769999989,17.820339203000000
155,154,-93.539358010000001,44.065106169999993,17.821860312999998
156,155,-93.539358010000001,44.065067569999997,17.800906180999998
157,156,-93.539358010000001,44.065028970000000,17.742768764000001
158,157,-93.539358010000001,44.064990369999990,17.687129498000001
159,158,-93.539358010000001,44.064951769999986,17.745010853000000
160,159,-93.539358010000001,44.064913169999997,17.865481852999999
161,160,-93.539319409999990,44.065646569999991,17.144752501999999
162,161,-93.539319409999990,44.065607969999988,17.260047436000001
163,162,-93.539319409999990,44.065569369999992,17.650140284999999
164,163,-93.539319409999990,44.065530769999995,17.813281536000002
165,164,-93.539319409999990,44.065492169999999,17.594065188999998
166,165,-93.539319409999990,44.065453569999981,17.173896313000000
167,166,-93.539319409999990,44.065414969999992,17.129924773999999
168,167,-93.539319409999990,44.065376369999996,17.178981781000001
169,168,-93.539319409999990,44.065337769999999,17.241440296000000
170,169,-93.539319409999990,44.065299169999989,17.261321068000001
171,170,-93.539319409999990,44.065260569999992,17.263742923999999
172,171,-93.539319409999990,44.065221970000003,17.231273173999998
173,172,-93.539319409999990,44.065183370000000,17.287514687000002
174,173,-93.539319409999990,44.065144769999989,17.268641471999999
175,174,-93.539319409999990,44.065106169999993,17.222086430000001
176,175,-93.539319409999990,44.065067569999997,17.197643280000001
177,176,-93.539319409999990,44.065028970000000,17.142593861000002
178,177,-93.539319409999990,44.064990369999990,17.159197330000001
179,178,-93.539319409999990,44.064951769999986,17.267171860000001
180,179,-93.539319409999990,44.064913169999997,17.424430847000000
181,180,-93.539280810000008,44.065646569999991,17.155961990000002
182,181,-93.539280810000008,44.065607969999988,17.259996414000000
183,182,-93.539280810000008,44.065569369999992,17.664641379999999
184,183,-93.539280810000008,44.065530769999995,17.912159443000000
185,184,-93.539280810000008,44.065492169999999,17.736426829999999
186,185,-93.539280810000008,44.065453569999981,17.337895393000000
