,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
37,Plot1033,2021,6082021,90.776,110.77,82.889,95.53509198,0.121139662,0.09920316,0.16850249,0.748298276,47.875,0.057364248,0.018544131,47.81763575,0.196472778,0.239748569,1.220256455,1.257754857,3,9,232.0632372
38,Plot1034,2021,6082021,88.387,109.64,81.175,93.84840967,0.127861702,0.107323749,0.181879643,0.740377599,49.718,0.050507518,0.014344453,49.66749248,0.212203258,0.252457774,1.240453913,1.276116557,3,10,225.6519063
39,Plot1035,2021,6082021,92.816,113.27,85.108,97.78935596,0.120198584,0.099249828,0.169072063,0.751372826,48.616,0.057255301,0.020196845,48.5587447,0.196563402,0.237859776,1.220371488,1.256117663,3,11,232.3645803
40,Plot1036,2021,6082021,94.086,114.75,85.584,98.90122843,0.121783122,0.098948457,0.167656509,0.745830065,49.83,0.057640106,0.017212146,49.77235989,0.195978132,0.241062676,1.21962885,1.258707403,3,12,225.9879626
41,Plot1037,2021,6082021,89.083,110.44,82.344,94.71590649,0.126056889,0.107040291,0.18225962,0.74559942,49.453,0.05064871,0.017176895,49.40235129,0.211655513,0.248895786,1.239742712,1.27264654,3,13,220.8704277
42,Plot1038,2021,6082021,91.506,114.42,85.86,98.04288864,0.126718955,0.111272982,0.190845035,0.750393288,51.474,0.046912463,0.019822747,51.42708754,0.219824171,0.24990791,1.250409809,1.27721119,3,14,207.0135241
43,Plot1039,2021,6082021,90.97,111.69,84.197,96.33160058,0.120971931,0.102240205,0.174906933,0.753845465,48.213,0.054619549,0.021564055,48.15838045,0.202365076,0.239159697,1.227767396,1.259811074,3,15,210.1534069
44,Plot104,2021,6082021,98.408,116.5,87.269,101.443355,0.113029854,0.08418486,0.141743511,0.749090129,47.323,0.07039318,0.018785679,47.25260682,0.167184867,0.224920274,1.183846842,1.232163288,32,8,206.4117393
45,Plot1040,2021,6082021,86.867,108.9,81.888,93.29296192,0.126877158,0.112547058,0.193477287,0.751955923,49.045,0.045789919,0.020684663,48.99921008,0.22227855,0.250142383,1.253640623,1.278525413,3,16,212.2059717
46,Plot1041,2021,6082021,94.825,115.93,88.501,100.4389906,0.116897005,0.100139973,0.172632388,0.763400328,48.534,0.056222766,0.026637394,48.47777723,0.198291476,0.231205896,1.222567888,1.250992053,3,17,219.2575686
