Extract_GALa2_dry_mass,Plot
9695.279541016,164
10222.066162109,165
10361.457763672,166
10426.966308594,167
9958.488769531,168
9340.435546875,169
8892.000732422,170
8649.393798828,171
8850.091552734,172
9292.751953125,173
9825.512695312,174
10866.76953125,175
12029.421386719,176
12618.005859375,177
12820.31640625,178
12890.608642578,179
12968.583740234,180
10644.606933594,181
10237.915039062,182
9387.666992188,183
9532.669433594,184
9788.671386719,185
10116.272949219,186
10377.030761719,187
9993.446289062,188
9412.166992188,189
9004.407470703,190
8845.419189453,191
9198.708496094,192
9716.722167969,193
10371.614013672,194
11416.331298828,195
12172.236083984,196
12552.392822266,197
12642.218261719,198
12675.745605469,199
12762.972167969,200
10623.582519531,201
10306.137207031,202
9385.509277344,203
9180.92578125,204
9316.435546875,205
9944.141113281,206
10840.87109375,207
10893.150878906,208
10451.639160156,209
10091.085449219,210
9919.466308594,211
10176.838378906,212
10488.364257812,213
11158.337402344,214
11871.954589844,215
12236.187988281,216
12374.630859375,217
12425.084472656,218
12443.986328125,219
12472.837402344,220
10600.944091797,221
10384.560058594,222
9538.187011719,223
9186.181152344,224
9390.498046875,225
10325.677490234,226
11620.801269531,227
11980.640136719,228
11681.62109375,229
11289.775634766,230
11142.712158203,231
11228.141845703,232
11464.366210938,233
11774.828613281,234
12143.321044922,235
12345.125244141,236
12391.518554688,237
12408.975830078,238
12361.605957031,239
12309.291992188,240
10617.056152344,241
10433.357421875,242
9778.843994141,243
9859.292480469,244
10355.246582031,245
11493.916015625,246
12669.808349609,247
12866.788818359,248
12648.789794922,249
12465.415771484,250
12376.669921875,251
12427.765869141,252
12474.787597656,253
12531.644775391,254
12618.465332031,255
12649.815673828,256
12812.549072266,257
12861.207763672,258
12751.399169922,259
12636.991943359,260
10632.9453125,261
10308.561767578,262
9815.832275391,263
10454.913330078,264
11593.041259766,265
12628.251708984,266
13349.823486328,267
13414.282714844,268
13186.766113281,269
13187.278564453,270
13251.093994141,271
13253.207519531,272
13367.274414062,273
13440.108886719,274
13428.233398438,275
13388.612304688,276
13498.342773438,277
13647.505859375,278
13591.229980469,279
13513.812988281,280
10555.754882812,281
10010.979248047,282
9624.018310547,283
10226.528076172,284
11437.368164062,285
12604.697998047,286
13401.952392578,287
13428.854492188,288
13277.728271484,289
13452.473144531,290
13664.287841797,291
13707.110107422,292
13703.525390625,293
13699.099853516,294
13723.992919922,295
13756.316894531,296
13818.462402344,297
13822.842529297,298
13860.578857422,299
13877.2265625,300
10414.903564453,301
9708.609375,302
9155.502685547,303
9614.416015625,304
10355.568847656,305
11713.520751953,306
12802.895996094,307
12999.853027344,308
12979.618164062,309
13202.500244141,310
13485.364013672,311
13533.96484375,312
13407.5234375,313
13242.385498047,314
13293.114501953,315
13513.889648438,316
13480.01171875,317
13217.572998047,318
13176.658935547,319
13351.927978516,320
10302.364501953,321
9623.702880859,322
9062.937744141,323
9717.451171875,324
10375.8125,325
11301.906982422,326
12410.793701172,327
12706.491210938,328
12775.363037109,329
12930.413085938,330
13069.985351562,331
13136.010253906,332
13042.818847656,333
12915.471923828,334
12963.625732422,335
13150.193847656,336
13015.815673828,337
12611.470214844,338
12565.239990234,339
12909.3203125,340
10139.057128906,341
9615.312011719,342
9142.226806641,343
9797.005859375,344
10483.630371094,345
11584.626708984,346
12582.912841797,347
12935.547607422,348
12964.930908203,349
12941.882568359,350
12943.587158203,351
12974.808105469,352
12966.727539062,353
12870.500488281,354
12793.697021484,355
12872.307861328,356
12790.442871094,357
12522.076171875,358
12469.956787109,359
12737.16015625,360
9804.098388672,361
9521.260986328,362
9166.591796875,363
9720.214355469,364
10438.836181641,365
11711.01171875,366
12803.73046875,367
13202.654052734,368
13158.599121094,369
12993.198974609,370
12865.072998047,371
12904.114746094,372
12936.407714844,373
12786.950683594,374
12570.095458984,375
12607.501464844,376
12733.883056641,377
12703.591308594,378
12721.806884766,379
12814.753417969,380
9424.657470703,381
9299.518554688,382
9135.133056641,383
9942.839599609,384
10545.07421875,385
11556.46484375,386
12515.424804688,387
12899.956787109,388
12933.981933594,389
12757.444335938,390
12576.016845703,391
12620.815185547,392
12642.334960938,393
12554.371826172,394
12338.261962891,395
12334.496582031,396
12537.560546875,397
12718.345703125,398
12903.577636719,399
13023.71875,400
9229.292236328,401
9162.236083984,402
9249.919677734,403
10431.902099609,404
11278.622558594,405
11888.870361328,406
12434.392578125,407
12638.635742188,408
12647.824951172,409
12608.018798828,410
12602.381347656,411
12748.411621094,412
12853.106933594,413
12860.209960938,414
12742.493652344,415
12577.618652344,416
12578.216552734,417
12785.295410156,418
13082.552490234,419
13248.166992188,420
9077.278076172,421
9004.494873047,422
9561.896972656,423
10974.260986328,424
11770.346679688,425
12265.409179688,426
12612.596435547,427
12640.898681641,428
12575.285644531,429
12636.244873047,430
12834.326904297,431
13118.870605469,432
13272.782226562,433
13364.534423828,434
13323.568359375,435
13099.098388672,436
12929.121582031,437
12994.494384766,438
13163.385742188,439
13278.741699219,440
8758.447265625,441
8704.736816406,442
9516.906005859,443
10621.295410156,444
11266.435302734,445
12093.315673828,446
12704.104003906,447
12817.552246094,448
12769.505615234,449
12835.965576172,450
13048.897949219,451
13297.300537109,452
13416.866210938,453
13485.389160156,454
13560.109619141,455
13443.765869141,456
13294.826171875,457
13221.135009766,458
13184.610595703,459
13039.896728516,460
8391.705078125,461
8274.489624023,462
8655.711181641,463
9552.425537109,464
10199.701416016,465
11414.097412109,466
12425.874023438,467
12776.641845703,468
12908.989990234,469
13054.671142578,470
13291.749511719,471
13554.062744141,472
13658.743164062,473
13675.353271484,474
13612.099853516,475
13468.188476562,476
13339.345703125,477
13397.623779297,478
13367.820068359,479
13102.128173828,480
8208.420654297,481
7907.334960938,482
7857.901367188,483
8808.248046875,484
9542.80078125,485
10851.974609375,486
12096.645996094,487
12578.602050781,488
12827.442871094,489
13024.800292969,490
13293.333496094,491
13647.653320312,492
13753.620117188,493
13702.737792969,494
13539.886230469,495
13371.747070312,496
13270.664550781,497
13437.673828125,498
13530.169921875,499
13251.875,500
8214.709716797,501
7746.594360352,502
8050.373901367,503
8848.946533203,504
9478.495849609,505
10562.112304688,506
11821.653076172,507
12292.934570312,508
12571.906982422,509
12764.260986328,510
13047.467529297,511
13402.578369141,512
13516.979980469,513
13453.469970703,514
13350.595214844,515
13287.1171875,516
13271.873779297,517
13377.188476562,518
13448.120605469,519
13249.063232422,520
8490.887207031,521
8097.850341797,522
8259.250488281,523
9038.898925781,524
9645.2109375,525
10853.449951172,526
12026.969726562,527
12405.364013672,528
12538.735351562,529
12674.309326172,530
12915.560302734,531
13257.874267578,532
13405.090820312,533
13380.504638672,534
13330.013916016,535
13271.69140625,536
13136.817138672,537
13029.325683594,538
12932.559326172,539
12952.935791016,540
8859.831054688,541
8748.381347656,542
8808.064208984,543
9348.015136719,544
9798.131103516,545
11268.733154297,546
12451.529541016,547
12700.824707031,548
12769.700439453,549
12838.447265625,550
13029.079101562,551
13245.584228516,552
13369.228027344,553
13481.910888672,554
13532.885742188,555
13349.098388672,556
13084.880371094,557
12692.039794922,558
12378.959716797,559
12499.133544922,560
9098.013671875,561
