Extract_GALa2_moist,Plot
17.608623028,562
17.891512871,563
17.973404408,564
17.564826488,565
17.078113079,566
16.946414471,567
16.882870197,568
16.837823391,569
16.795125008,570
16.733699799,571
16.674983025,572
16.64637661,573
16.639975071,574
16.645759583,575
16.66359663,576
16.680186272,577
16.698677063,578
16.732012272,579
16.780757904,580
17.473539829,581
17.599710941,582
17.881040096,583
17.918281078,584
17.602641582,585
17.173356056,586
17.008832932,587
16.909941673,588
16.834814072,589
16.783316612,590
16.735666275,591
16.694765091,592
16.67992115,593
16.68590498,594
16.716094494,595
16.743763447,596
16.76227951,597
16.774412155,598
16.78286171,599
16.800958633,600
17.462002277,601
17.573122978,602
17.869438648,603
17.934128284,604
17.594917774,605
17.218614578,606
17.082581043,607
16.955550671,608
16.838395119,609
16.747047901,610
16.707159519,611
16.708641529,612
16.713215828,613
16.733632565,614
16.771481991,615
16.79966116,616
16.818505287,617
16.84144783,618
16.853889942,619
16.850893974,620
17.454096317,621
17.537292004,622
17.854664803,623
17.933609009,624
17.557105541,625
17.196503162,626
17.109663963,627
16.98273468,628
16.838093281,629
16.747298241,630
16.725803375,631
16.73069334,632
16.748357773,633
16.761819839,634
16.786660671,635
16.800654888,636
16.816597462,637
16.840036392,638
16.866085052,639
16.869165421,640
17.459949493,641
17.529692173,642
17.827989101,643
17.885879993,644
17.547634602,645
17.166992664,646
17.05788517,647
16.972914219,648
16.87553072,649
16.807430267,650
16.789942741,651
16.771547794,652
16.741593361,653
16.726101398,654
16.711673737,655
16.721056938,656
16.735134602,657
16.765620232,658
16.801676273,659
16.818350792,660
17.470346928,661
17.507235527,662
17.813006401,663
17.861744881,664
17.468846321,665
17.127686024,666
17.037633896,667
16.97606802,668
16.897790909,669
16.826340675,670
16.783304214,671
16.723171234,672
16.654972076,673
16.6025424,674
16.581402302,675
16.613597393,676
16.656486988,677
16.694361687,678
16.721988201,679
16.735034466,680
17.469939709,681
17.524145603,682
17.784389019,683
17.818598747,684
17.360319138,685
17.08566761,686
17.01136446,687
16.933329582,688
16.836740017,689
16.747018814,690
16.668873787,691
16.586008072,692
16.520851135,693
16.468370438,694
16.475368977,695
16.539373398,696
16.600409031,697
16.635411263,698
16.665046692,699
16.676482201,700
17.437723637,701
17.58979845,702
17.852261543,703
17.798010349,704
17.361999989,705
17.000581264,706
16.890665054,707
16.835285187,708
16.771613598,709
16.703165054,710
16.63582325,711
16.558974266,712
16.497550964,713
16.461576462,714
16.462156296,715
16.509002209,716
16.556485176,717
16.591958523,718
16.633415222,719
16.672055244,720
17.399189949,721
17.534805298,722
17.852782726,723
17.796546936,724
17.316043377,725
16.913250923,726
16.851634502,727
16.84576416,728
16.848660946,729
16.834959984,730
16.786958218,731
16.710837364,732
16.655515671,733
16.603674889,734
16.572088242,735
16.572878361,736
16.576528549,737
16.596511841,738
16.627292633,739
16.658651352,740
17.350667953,741
17.502418518,742
17.852175713,743
17.840557098,744
17.277327538,745
16.930652618,746
16.890720367,747
16.898101807,748
16.928742409,749
16.938062668,750
16.899998665,751
16.80922699,752
16.737913132,753
16.704129219,754
16.655790329,755
16.626337051,756
16.615626335,757
16.625674248,758
16.634038925,759
16.636294365,760
17.383717537,761
17.512198925,762
17.863409042,763
17.875076294,764
17.367929935,765
16.961072922,766
16.87186718,767
16.873279572,768
16.888421535,769
16.900301933,770
16.853998661,771
16.772012234,772
16.708796501,773
16.663538933,774
16.638880253,775
16.6160326,776
16.618492126,777
16.641606331,778
16.646862507,779
16.637373447,780
17.391507626,781
17.511370659,782
17.821292877,783
17.880866051,784
17.376770973,785
16.979161263,786
16.874921799,787
16.855431557,788
16.835827351,789
16.823758602,790
16.788599491,791
16.718610287,792
16.672029495,793
16.659425259,794
16.645080566,795
16.646522522,796
16.669254303,797
16.691961765,798
16.709105968,799
16.705133438,800
17.430606365,801
17.506163597,802
17.826077461,803
17.899647713,804
17.461346626,805
16.956359863,806
16.93082428,807
16.908967495,808
16.892618179,809
16.875958443,810
16.856451988,811
16.818016529,812
16.799189568,813
16.783675194,814
16.775352955,815
16.781964779,816
16.785704136,817
16.774674416,818
16.780015945,819
16.775632858,820
17.468781948,821
17.552783966,822
17.912333488,823
17.96471262,824
17.501074791,825
16.947925568,826
16.899113655,827
16.893466949,828
16.875145912,829
16.868993282,830
16.868793964,831
16.872159481,832
16.859863281,833
16.854774952,834
16.842857361,835
16.8329072,836
16.807456493,837
16.770590782,838
16.751992226,839
16.75223732,840
17.496412277,841
17.634554863,842
17.978312492,843
18.046355247,844
17.542208195,845
16.973452568,846
16.868142605,847
16.845567703,848
16.811991692,849
16.797187805,850
16.803749561,851
16.818852425,852
16.828226089,853
16.823982239,854
16.811714649,855
16.793498516,856
16.766859055,857
16.726080418,858
16.703950882,859
16.708577633,860
17.526996136,861
17.629894257,862
17.992999077,863
18.053415775,864
17.526889324,865
16.977705956,866
16.88015604,867
16.835117817,868
16.800123215,869
16.774672985,870
16.773940086,871
16.785187244,872
16.789477348,873
16.781535149,874
16.757253647,875
16.734746933,876
16.702735901,877
16.666202068,878
16.651926041,879
16.644224167,880
17.571485043,881
17.649861813,882
17.943331718,883
18.001006603,884
17.537652969,885
16.934254169,886
16.810739994,887
16.79237318,888
16.780382156,889
16.770432949,890
16.762842655,891
16.754984379,892
16.745007515,893
16.723213673,894
16.681990147,895
16.628437996,896
16.584185123,897
16.548582077,898
16.522598267,899
16.528911591,900
17.637662411,901
17.630741596,902
17.852556229,903
17.875906944,904
17.455452442,905
16.898768902,906
16.828312397,907
16.834753513,908
16.830751419,909
16.800483704,910
16.758904457,911
16.728740692,912
16.70956707,913
16.69340992,914
16.655649185,915
16.627238274,916
16.593597412,917
16.567581177,918
16.550604343,919
16.580768585,920
17.716402054,921
17.669760704,922
17.852716923,923
17.860517025,924
17.314285755,925
16.812645912,926
16.826742649,927
16.839735985,928
16.820683956,929
16.765951633,930
16.708408356,931
16.67414999,932
16.663016319,933
16.64888382,934
16.641436577,935
16.648115158,936
16.664784431,937
16.659640312,938
16.667054176,939
16.713294029,940
17.79295969,941
17.734591484,942
17.897881508,943
17.887167931,944
17.264547825,945
16.721664429,946
16.60419178,947
16.632600307,948
16.621375561,949
16.582356453,950
16.551612377,951
16.534875393,952
16.521046638,953
16.508246422,954
16.503846645,955
16.521735668,956
16.546367645,957
16.557949066,958
16.563076019,959
16.595691681,960
17.844003201,961
17.804414749,962
18.013689518,963
17.903447151,964
17.199235916,965
16.527113914,966
16.439804077,967
16.448945045,968
16.460083485,969
16.437994957,970
16.406334877,971
16.361538887,972
16.324084282,973
16.278685093,974
16.241805553,975
16.233051777,976
16.245084286,977
16.241597176,978
16.249929905,979
16.278103352,980
17.844385624,981
17.845614433,982
17.947272301,983
17.865860462,984
16.967926502,985
16.335643291,986
16.323626518,987
16.33242321,988
16.345439911,989
16.330001831,990
16.28856945,991
16.219434261,992
