Extract_GALa1_crp_fw_v,Plot
1252.447357178,226
1551.129364014,227
1598.353790283,228
1551.068115234,229
1512.288696289,230
1475.353240967,231
1463.572753906,232
1475.839416504,233
1527.393218994,234
1579.819610596,235
1593.614837646,236
1567.232208252,237
1582.8621521,238
1590.989593506,239
1571.116485596,240
1264.196075439,241
1344.37310791,242
1143.959686279,243
1079.671936035,244
1022.922195435,245
1359.48828125,246
1666.498291016,247
1771.636108398,248
1735.735626221,249
1676.94152832,250
1670.053344727,251
1689.243835449,252
1666.88470459,253
1655.24432373,254
1659.590515137,255
1672.253295898,256
1733.851898193,257
1743.502685547,258
1681.502563477,259
1646.867919922,260
1296.580749512,261
1275.977020264,262
1141.015350342,263
1210.711914062,264
1055.666564941,265
1450.715576172,266
1634.825683594,267
1652.362365723,268
1621.531616211,269
1625.379974365,270
1623.709472656,271
1603.778045654,272
1607.451293945,273
1633.153808594,274
1621.671295166,275
1588.73538208,276
1629.136383057,277
1666.628204346,278
1645.515991211,279
1634.794036865,280
1281.662628174,281
1200.507781982,282
1074.718353271,283
1221.269439697,284
1042.04045105,285
1391.484985352,286
1550.416259766,287
1510.030670166,288
1482.616607666,289
1529.931671143,290
1550.051452637,291
1527.916442871,292
1527.636169434,293
1543.949127197,294
1531.090026855,295
1496.044708252,296
1506.952941895,297
1539.54675293,298
1553.828796387,299
1572.056365967,300
1266.462280273,301
1158.910217285,302
980.449645996,303
1010.815856934,304
921.0181427000001,305
1218.11541748,306
1472.445983887,307
1465.991577148,308
1458.217712402,309
1477.405609131,310
1526.829376221,311
1552.198669434,312
1506.348815918,313
1445.91973877,314
1448.787078857,315
1496.460144043,316
1496.131500244,317
1441.864654541,318
1451.270446777,319
1495.124786377,320
1259.286651611,321
1147.677276611,322
985.196670532,323
1125.378997803,324
1054.079071045,325
1253.916107178,326
1413.335418701,327
1456.377532959,328
1460.9140625,329
1488.624359131,330
1497.16885376,331
1504.838531494,332
1492.786254883,333
1481.297607422,334
1503.640258789,335
1547.013427734,336
1506.545715332,337
1412.131713867,338
1412.160064697,339
1484.869476318,340
1249.742919922,341
1177.538543701,342
879.154541016,343
1087.362976074,344
1020.651870728,345
1267.07131958,346
1448.337677002,347
1492.352996826,348
1484.492034912,349
1482.251831055,350
1469.012329102,351
1473.977844238,352
1480.015441895,353
1467.948822021,354
1457.622070312,355
1483.807800293,356
1463.385772705,357
1400.091033936,358
1398.567047119,359
1447.297149658,360
1168.946014404,361
1175.570556641,362
1025.702301025,363
1142.157165527,364
943.37840271,365
1273.55291748,366
1492.348937988,367
1531.149963379,368
1505.242126465,369
1475.092773438,370
1442.856567383,371
1458.468505859,372
1473.845581055,373
1441.057403564,374
1365.193969727,375
1376.121643066,376
1416.62121582,377
1408.367889404,378
1420.891571045,379
1417.672149658,380
1075.925476074,381
1134.355651855,382
1015.199325562,383
1163.624511719,384
1068.213287354,385
1235.39730835,386
1394.529815674,387
1465.961914062,388
1475.39730835,389
1430.475585938,390
1396.977600098,391
1408.510864258,392
1424.846984863,393
1398.097076416,394
1340.136230469,395
1377.074859619,396
1418.142730713,397
1436.860198975,398
1456.192901611,399
1488.21762085,400
1086.213531494,401
1117.864807129,402
977.006103516,403
1199.964782715,404
1161.573486328,405
1315.039154053,406
1426.584899902,407
1454.493988037,408
1469.582061768,409
1466.946411133,410
1468.944580078,411
1511.54586792,412
1529.429016113,413
1540.347930908,414
1520.990081787,415
1488.032440186,416
1468.457489014,417
1504.132720947,418
1556.91418457,419
1581.3465271,420
1084.924499512,421
1050.28527832,422
812.693603516,423
1108.550689697,424
1191.293731689,425
1380.709106445,426
1473.43963623,427
1467.781494141,428
1475.548217773,429
1507.134490967,430
1531.958526611,431
1604.825866699,432
1615.651184082,433
1652.054992676,434
1656.374267578,435
1594.846557617,436
1532.655700684,437
1563.339813232,438
1617.022949219,439
1622.57522583,440
1043.471435547,441
992.328903198,442
824.01914978,443
1062.402862549,444
1208.026367188,445
1343.213409424,446
1430.565002441,447
1460.687866211,448
1436.782745361,449
1455.517028809,450
1494.706237793,451
1534.377502441,452
1564.905883789,453
1581.696502686,454
1600.713256836,455
1603.941253662,456
1588.874237061,457
1558.945892334,458
1529.973724365,459
1513.452789307,460
986.214263916,461
954.616088867,462
887.106903076,463
1084.253601074,464
1080.745498657,465
1290.316589355,466
1430.031036377,467
1473.338562012,468
1478.556427002,469
1497.367401123,470
1526.839050293,471
1562.544006348,472
1588.564575195,473
1592.905395508,474
1585.904998779,475
1565.234008789,476
1543.19921875,477
1563.411499023,478
1585.965698242,479
1519.716339111,480
952.294586182,481
941.771331787,482
881.826507568,483
1049.386535645,484
976.720672607,485
1261.05255127,486
1435.451293945,487
1482.031982422,488
1504.296020508,489
1530.805725098,490
1555.14465332,491
1595.866088867,492
1621.13671875,493
1615.15057373,494
1588.095153809,495
1545.165893555,496
1509.020996094,497
1571.097412109,498
1644.868835449,499
1548.502319336,500
954.914199829,501
934.055953979,502
703.690498352,503
948.576080322,504
943.379776001,505
1190.155914307,506
1363.036315918,507
1415.514709473,508
1453.042388916,509
1479.015716553,510
1505.869781494,511
1570.828399658,512
1594.333435059,513
1563.545379639,514
1543.516204834,515
1562.096130371,516
1542.494171143,517
1570.922027588,518
1589.196472168,519
1562.749755859,520
997.981552124,521
964.231750488,522
793.826126099,523
1023.799163818,524
998.892883301,525
1262.488555908,526
1438.858398438,527
1463.364074707,528
1485.313598633,529
1498.811279297,530
1525.427734375,531
1589.153198242,532
1618.490783691,533
1618.109375,534
1615.628997803,535
1610.213317871,536
1578.122009277,537
1566.080627441,538
1530.504180908,539
