OID_,FID,X,Y,Extract_GALa_Crop_Flw_M
241,240,-93.530825436763507,44.077395660989190,24.427318149000001
242,241,-93.530825436763507,44.077356660989189,23.867851257000002
243,242,-93.530825436763507,44.077317660989195,23.903984917999999
244,243,-93.530825436763507,44.077278660989194,23.912786801999999
245,244,-93.530825436763507,44.077239660989193,23.431677711999999
246,245,-93.530825436763507,44.077200660989192,22.267593172000002
247,246,-93.530825436763507,44.077161660989191,21.094800737000000
248,247,-93.530825436763507,44.077122660989197,19.426020092000002
249,248,-93.530825436763507,44.077083660989189,16.721049838999999
250,249,-93.530825436763507,44.077044660989195,18.273697535000000
251,250,-93.530825436763507,44.077005660989194,22.443558586999998
252,251,-93.530825436763507,44.076966660989186,20.916085984999999
253,252,-93.530825436763507,44.076927660989192,18.953048706000001
254,253,-93.530825436763507,44.076888660989191,18.418530358000002
255,254,-93.530825436763507,44.076849660989190,13.908874300000001
256,255,-93.530825436763507,44.076810660989189,11.427099864000001
257,256,-93.530786436763520,44.078019660989192,24.392937977999999
258,257,-93.530786436763520,44.077980660989198,23.117235183999998
259,258,-93.530786436763520,44.077941660989190,23.321461995000000
260,259,-93.530786436763520,44.077902660989189,23.706339094000001
261,260,-93.530786436763520,44.077863660989195,22.677486844000001
262,261,-93.530786436763520,44.077824660989201,22.748740302000002
263,262,-93.530786436763520,44.077785660989193,23.386980056999999
264,263,-93.530786436763520,44.077746660989192,22.799733268000001
265,264,-93.530786436763520,44.077707660989184,23.564666324000001
266,265,-93.530786436763520,44.077668660989190,24.761298708999998
267,266,-93.530786436763520,44.077629660989189,25.318726858000002
268,267,-93.530786436763520,44.077590660989195,23.905933168000001
269,268,-93.530786436763520,44.077551660989187,23.529250780999998
270,269,-93.530786436763520,44.077512660989193,24.991108787999998
271,270,-93.530786436763520,44.077473660989192,25.573905945000000
272,271,-93.530786436763520,44.077434660989191,24.665209875999999
273,272,-93.530786436763520,44.077395660989190,24.317720625000000
274,273,-93.530786436763520,44.077356660989189,23.257758458000001
275,274,-93.530786436763520,44.077317660989195,23.520885890999999
276,275,-93.530786436763520,44.077278660989194,24.285631179999999
277,276,-93.530786436763520,44.077239660989193,23.125046200000000
278,277,-93.530786436763520,44.077200660989192,22.318042967000000
279,278,-93.530786436763520,44.077161660989191,20.631656223000000
280,279,-93.530786436763520,44.077122660989197,20.545468012000001
281,280,-93.530786436763520,44.077083660989189,16.854249318000001
282,281,-93.530786436763520,44.077044660989195,17.000686328000000
283,282,-93.530786436763520,44.077005660989194,20.548630820000000
284,283,-93.530786436763520,44.076966660989186,20.069036484000002
285,284,-93.530786436763520,44.076927660989192,18.578483158000001
286,285,-93.530786436763520,44.076888660989191,17.832269668999999
287,286,-93.530786436763520,44.076849660989190,13.273448414000001
288,287,-93.530786436763520,44.076810660989189,10.997776349000000
289,288,-93.530747436763519,44.078019660989192,24.330750148000000
290,289,-93.530747436763519,44.077980660989198,23.011181513000000
291,290,-93.530747436763519,44.077941660989190,23.170753691000002
292,291,-93.530747436763519,44.077902660989189,24.270951376999999
293,292,-93.530747436763519,44.077863660989195,23.450178994000002
294,293,-93.530747436763519,44.077824660989201,24.417859607000000
295,294,-93.530747436763519,44.077785660989193,24.389057477000001
296,295,-93.530747436763519,44.077746660989192,24.200903998000001
297,296,-93.530747436763519,44.077707660989184,24.689552942999999
298,297,-93.530747436763519,44.077668660989190,25.812455707000002
299,298,-93.530747436763519,44.077629660989189,25.612642076000000
300,299,-93.530747436763519,44.077590660989195,24.075991312999999
301,300,-93.530747436763519,44.077551660989187,23.788661003000001
302,301,-93.530747436763519,44.077512660989193,24.712012396999999
303,302,-93.530747436763519,44.077473660989192,24.780050490000001
304,303,-93.530747436763519,44.077434660989191,23.878530290000000
305,304,-93.530747436763519,44.077395660989190,23.597369088000001
306,305,-93.530747436763519,44.077356660989189,22.129851023000001
307,306,-93.530747436763519,44.077317660989195,22.982211642999999
308,307,-93.530747436763519,44.077278660989194,24.135739009000002
309,308,-93.530747436763519,44.077239660989193,22.202393426000000
310,309,-93.530747436763519,44.077200660989192,22.062448925000002
