OID_,FID,X,Y,Extract_GAL_Yld_Vol_Dr
156,155,-93.530942436763510,44.076966660989186,168.637571546999993
157,156,-93.530942436763510,44.076927660989192,190.342119005000001
158,157,-93.530942436763510,44.076888660989191,192.003770615999997
159,158,-93.530942436763510,44.076849660989190,180.041929457000009
160,159,-93.530942436763510,44.076810660989189,148.828765868999994
161,160,-93.530903436763509,44.078019660989192,230.924848768000004
162,161,-93.530903436763509,44.077980660989198,245.076853433999986
163,162,-93.530903436763509,44.077941660989190,231.022235447000014
164,163,-93.530903436763509,44.077902660989189,237.088953653999994
165,164,-93.530903436763509,44.077863660989195,221.395448472999988
166,165,-93.530903436763509,44.077824660989201,215.175996567999988
167,166,-93.530903436763509,44.077785660989193,208.084747313999998
168,167,-93.530903436763509,44.077746660989192,202.872356838999991
169,168,-93.530903436763509,44.077707660989184,209.590972899999997
170,169,-93.530903436763509,44.077668660989190,212.245266385000008
171,170,-93.530903436763509,44.077629660989189,207.320107353999987
172,171,-93.530903436763509,44.077590660989195,219.432991875999988
173,172,-93.530903436763509,44.077551660989187,215.984512329000012
174,173,-93.530903436763509,44.077512660989193,227.232691447000008
175,174,-93.530903436763509,44.077473660989192,251.202911376999992
176,175,-93.530903436763509,44.077434660989191,246.419460719999989
177,176,-93.530903436763509,44.077395660989190,241.215035333000003
178,177,-93.530903436763509,44.077356660989189,231.081782022999988
179,178,-93.530903436763509,44.077317660989195,228.170065985999997
180,179,-93.530903436763509,44.077278660989194,210.648981730000003
181,180,-93.530903436763509,44.077239660989193,208.316896227000001
182,181,-93.530903436763509,44.077200660989192,215.076129489000010
183,182,-93.530903436763509,44.077161660989191,213.298021105000004
184,183,-93.530903436763509,44.077122660989197,190.950176663000008
185,184,-93.530903436763509,44.077083660989189,171.962480333000002
186,185,-93.530903436763509,44.077044660989195,183.120389302999996
187,186,-93.530903436763509,44.077005660989194,189.647384643999999
188,187,-93.530903436763509,44.076966660989186,181.448883056999989
189,188,-93.530903436763509,44.076927660989192,193.747251723000005
190,189,-93.530903436763509,44.076888660989191,189.834974501000005
191,190,-93.530903436763509,44.076849660989190,166.231782700999986
192,191,-93.530903436763509,44.076810660989189,130.795758565000000
193,192,-93.530864436763494,44.078019660989192,229.811240301999987
194,193,-93.530864436763494,44.077980660989198,239.272535535999992
195,194,-93.530864436763494,44.077941660989190,234.303081936000012
196,195,-93.530864436763494,44.077902660989189,237.811618380999988
197,196,-93.530864436763494,44.077863660989195,218.620064629000012
198,197,-93.530864436763494,44.077824660989201,213.488716973000010
199,198,-93.530864436763494,44.077785660989193,213.676651001000010
200,199,-93.530864436763494,44.077746660989192,208.180469089000013
201,200,-93.530864436763494,44.077707660989184,213.696431477999994
202,201,-93.530864436763494,44.077668660989190,221.520395914999995
203,202,-93.530864436763494,44.077629660989189,224.028221978000005
204,203,-93.530864436763494,44.077590660989195,228.269271851000013
205,204,-93.530864436763494,44.077551660989187,232.293001811000011
206,205,-93.530864436763494,44.077512660989193,245.603761461000005
207,206,-93.530864436763494,44.077473660989192,256.340547350000008
208,207,-93.530864436763494,44.077434660989191,242.904968262000011
209,208,-93.530864436763494,44.077395660989190,236.467195298999997
210,209,-93.530864436763494,44.077356660989189,230.982186210999998
211,210,-93.530864436763494,44.077317660989195,235.198131985000003
212,211,-93.530864436763494,44.077278660989194,221.953147887999990
213,212,-93.530864436763494,44.077239660989193,221.475214639999990
214,213,-93.530864436763494,44.077200660989192,222.662234836000010
215,214,-93.530864436763494,44.077161660989191,208.836612277999990
216,215,-93.530864436763494,44.077122660989197,189.450693766000001
217,216,-93.530864436763494,44.077083660989189,169.416102090999999
218,217,-93.530864436763494,44.077044660989195,189.117774962999988
219,218,-93.530864436763494,44.077005660989194,203.802786932999993
220,219,-93.530864436763494,44.076966660989186,193.903798421000005
221,220,-93.530864436763494,44.076927660989192,189.495363024000000
222,221,-93.530864436763494,44.076888660989191,189.257229274999986
223,222,-93.530864436763494,44.076849660989190,157.428059896000008
224,223,-93.530864436763494,44.076810660989189,122.740183512000002
225,224,-93.530825436763507,44.078019660989192,230.214396158999989
226,225,-93.530825436763507,44.077980660989198,228.710723876999992
227,226,-93.530825436763507,44.077941660989190,229.193322075999987
228,227,-93.530825436763507,44.077902660989189,233.821361966000012
229,228,-93.530825436763507,44.077863660989195,217.313578288000002
230,229,-93.530825436763507,44.077824660989201,211.515728421000006
231,230,-93.530825436763507,44.077785660989193,215.554430644000007
232,231,-93.530825436763507,44.077746660989192,207.484831068000005
233,232,-93.530825436763507,44.077707660989184,214.705930921999993
234,233,-93.530825436763507,44.077668660989190,226.235994126999998
235,234,-93.530825436763507,44.077629660989189,233.559307522000012
236,235,-93.530825436763507,44.077590660989195,232.700598823000007
237,236,-93.530825436763507,44.077551660989187,240.293357848999989
238,237,-93.530825436763507,44.077512660989193,253.225438435999990
239,238,-93.530825436763507,44.077473660989192,250.239205254000012
240,239,-93.530825436763507,44.077434660989191,238.676910399999997
241,240,-93.530825436763507,44.077395660989190,236.938235813000006
242,241,-93.530825436763507,44.077356660989189,237.084501477999993
243,242,-93.530825436763507,44.077317660989195,236.399603949999999
244,243,-93.530825436763507,44.077278660989194,228.295036315999994
245,244,-93.530825436763507,44.077239660989193,223.296752929999997
246,245,-93.530825436763507,44.077200660989192,221.219540066000008
247,246,-93.530825436763507,44.077161660989191,207.899653117000014
248,247,-93.530825436763507,44.077122660989197,197.294737074000011
249,248,-93.530825436763507,44.077083660989189,169.421749538999990
250,249,-93.530825436763507,44.077044660989195,191.319979350000011
251,250,-93.530825436763507,44.077005660989194,210.626152886000000
252,251,-93.530825436763507,44.076966660989186,202.461137559999997
253,252,-93.530825436763507,44.076927660989192,187.520477295000006
254,253,-93.530825436763507,44.076888660989191,185.694303724999997
255,254,-93.530825436763507,44.076849660989190,153.216762966999994
256,255,-93.530825436763507,44.076810660989189,119.026057773000005
257,256,-93.530786436763520,44.078019660989192,231.496700710999988
258,257,-93.530786436763520,44.077980660989198,221.875813802000010
259,258,-93.530786436763520,44.077941660989190,218.094789292999991
260,259,-93.530786436763520,44.077902660989189,226.058995565000004
261,260,-93.530786436763520,44.077863660989195,213.410330877999996
262,261,-93.530786436763520,44.077824660989201,214.968192205999998
263,262,-93.530786436763520,44.077785660989193,219.500027974000005
264,263,-93.530786436763520,44.077746660989192,215.338461982000013
265,264,-93.530786436763520,44.077707660989184,222.062306721999988
266,265,-93.530786436763520,44.077668660989190,231.237096151000003
267,266,-93.530786436763520,44.077629660989189,236.754082573999995
268,267,-93.530786436763520,44.077590660989195,230.050726996999998
269,268,-93.530786436763520,44.077551660989187,240.488698324000012
270,269,-93.530786436763520,44.077512660989193,250.484622531000014
271,270,-93.530786436763520,44.077473660989192,240.264694214000002
272,271,-93.530786436763520,44.077434660989191,234.922744751000010
273,272,-93.530786436763520,44.077395660989190,235.326609294000008
274,273,-93.530786436763520,44.077356660989189,231.257190280000003
275,274,-93.530786436763520,44.077317660989195,232.048288981000013
276,275,-93.530786436763520,44.077278660989194,232.008534749000006
277,276,-93.530786436763520,44.077239660989193,220.030765110000004
278,277,-93.530786436763520,44.077200660989192,221.684722899999997
279,278,-93.530786436763520,44.077161660989191,204.705440944999992
280,279,-93.530786436763520,44.077122660989197,208.391718547000011
281,280,-93.530786436763520,44.077083660989189,171.680321587000009
282,281,-93.530786436763520,44.077044660989195,187.034980773999990
