Fields,BoundingBox,X,Y,id,left,top,right,bottom
44,"[-93.5395791597029,44.0655099516904;-93.5395405797029,44.0655485316904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0655485316904,44.0655485316904,44.0655099516904,44.0655099516904,44.0655485316904,NaN]",46,-93.53957035,44.06555013,-93.53953177,44.06551155
45,"[-93.5395791597029,44.0654713716904;-93.5395405797029,44.0655099516904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0655099516904,44.0655099516904,44.0654713716904,44.0654713716904,44.0655099516904,NaN]",47,-93.53957035,44.06551155,-93.53953177,44.06547297
46,"[-93.5395791597029,44.0654327916904;-93.5395405797029,44.0654713716904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0654713716904,44.0654713716904,44.0654327916904,44.0654327916904,44.0654713716904,NaN]",48,-93.53957035,44.06547297,-93.53953177,44.06543439
47,"[-93.5395791597029,44.0653942116904;-93.5395405797029,44.0654327916904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0654327916904,44.0654327916904,44.0653942116904,44.0653942116904,44.0654327916904,NaN]",49,-93.53957035,44.06543439,-93.53953177,44.06539581
48,"[-93.5395791597029,44.0653556316904;-93.5395405797029,44.0653942116904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0653942116904,44.0653942116904,44.0653556316904,44.0653556316904,44.0653942116904,NaN]",50,-93.53957035,44.06539581,-93.53953177,44.06535723
49,"[-93.5395791597029,44.0653170516904;-93.5395405797029,44.0653556316904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0653556316904,44.0653556316904,44.0653170516904,44.0653170516904,44.0653556316904,NaN]",51,-93.53957035,44.06535723,-93.53953177,44.06531865
50,"[-93.5395791597029,44.0652784716904;-93.5395405797029,44.0653170516904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0653170516904,44.0653170516904,44.0652784716904,44.0652784716904,44.0653170516904,NaN]",52,-93.53957035,44.06531865,-93.53953177,44.06528007
51,"[-93.5395791597029,44.0652398916904;-93.5395405797029,44.0652784716904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0652784716904,44.0652784716904,44.0652398916904,44.0652398916904,44.0652784716904,NaN]",53,-93.53957035,44.06528007,-93.53953177,44.06524149
52,"[-93.5395791597029,44.0652013116904;-93.5395405797029,44.0652398916904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0652398916904,44.0652398916904,44.0652013116904,44.0652013116904,44.0652398916904,NaN]",54,-93.53957035,44.06524149,-93.53953177,44.06520291
53,"[-93.5395791597029,44.0651627316904;-93.5395405797029,44.0652013116904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0652013116904,44.0652013116904,44.0651627316904,44.0651627316904,44.0652013116904,NaN]",55,-93.53957035,44.06520291,-93.53953177,44.06516433
54,"[-93.5395791597029,44.0651241516904;-93.5395405797029,44.0651627316904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0651627316904,44.0651627316904,44.0651241516904,44.0651241516904,44.0651627316904,NaN]",56,-93.53957035,44.06516433,-93.53953177,44.06512575
55,"[-93.5395791597029,44.0650855716904;-93.5395405797029,44.0651241516904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0651241516904,44.0651241516904,44.0650855716904,44.0650855716904,44.0651241516904,NaN]",57,-93.53957035,44.06512575,-93.53953177,44.06508717
56,"[-93.5395791597029,44.0650469916904;-93.5395405797029,44.0650855716904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0650855716904,44.0650855716904,44.0650469916904,44.0650469916904,44.0650855716904,NaN]",58,-93.53957035,44.06508717,-93.53953177,44.06504859
57,"[-93.5395791597029,44.0650084116904;-93.5395405797029,44.0650469916904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0650469916904,44.0650469916904,44.0650084116904,44.0650084116904,44.0650469916904,NaN]",59,-93.53957035,44.06504859,-93.53953177,44.06501001
58,"[-93.5395791597029,44.0649698316904;-93.5395405797029,44.0650084116904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0650084116904,44.0650084116904,44.0649698316904,44.0649698316904,44.0650084116904,NaN]",60,-93.53957035,44.06501001,-93.53953177,44.06497143
59,"[-93.5395791597029,44.0649312516904;-93.5395405797029,44.0649698316904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0649698316904,44.0649698316904,44.0649312516904,44.0649312516904,44.0649698316904,NaN]",61,-93.53957035,44.06497143,-93.53953177,44.06493285
60,"[-93.5395791597029,44.0648926716904;-93.5395405797029,44.0649312516904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0649312516904,44.0649312516904,44.0648926716904,44.0648926716904,44.0649312516904,NaN]",62,-93.53957035,44.06493285,-93.53953177,44.06489427
61,"[-93.5395405797029,44.0656256916904;-93.5395019997029,44.0656642716904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0656642716904,44.0656642716904,44.0656256916904,44.0656256916904,44.0656642716904,NaN]",64,-93.53953177,44.06566587,-93.53949319,44.06562729
62,"[-93.5395405797029,44.0655871116904;-93.5395019997029,44.0656256916904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0656256916904,44.0656256916904,44.0655871116904,44.0655871116904,44.0656256916904,NaN]",65,-93.53953177,44.06562729,-93.53949319,44.06558871
63,"[-93.5395405797029,44.0655485316904;-93.5395019997029,44.0655871116904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0655871116904,44.0655871116904,44.0655485316904,44.0655485316904,44.0655871116904,NaN]",66,-93.53953177,44.06558871,-93.53949319,44.06555013
64,"[-93.5395405797029,44.0655099516904;-93.5395019997029,44.0655485316904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0655485316904,44.0655485316904,44.0655099516904,44.0655099516904,44.0655485316904,NaN]",67,-93.53953177,44.06555013,-93.53949319,44.06551155
65,"[-93.5395405797029,44.0654713716904;-93.5395019997029,44.0655099516904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0655099516904,44.0655099516904,44.0654713716904,44.0654713716904,44.0655099516904,NaN]",68,-93.53953177,44.06551155,-93.53949319,44.06547297
66,"[-93.5395405797029,44.0654327916904;-93.5395019997029,44.0654713716904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0654713716904,44.0654713716904,44.0654327916904,44.0654327916904,44.0654713716904,NaN]",69,-93.53953177,44.06547297,-93.53949319,44.06543439
67,"[-93.5395405797029,44.0653942116904;-93.5395019997029,44.0654327916904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0654327916904,44.0654327916904,44.0653942116904,44.0653942116904,44.0654327916904,NaN]",70,-93.53953177,44.06543439,-93.53949319,44.06539581
68,"[-93.5395405797029,44.0653556316904;-93.5395019997029,44.0653942116904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0653942116904,44.0653942116904,44.0653556316904,44.0653556316904,44.0653942116904,NaN]",71,-93.53953177,44.06539581,-93.53949319,44.06535723
69,"[-93.5395405797029,44.0653170516904;-93.5395019997029,44.0653556316904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0653556316904,44.0653556316904,44.0653170516904,44.0653170516904,44.0653556316904,NaN]",72,-93.53953177,44.06535723,-93.53949319,44.06531865
70,"[-93.5395405797029,44.0652784716904;-93.5395019997029,44.0653170516904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0653170516904,44.0653170516904,44.0652784716904,44.0652784716904,44.0653170516904,NaN]",73,-93.53953177,44.06531865,-93.53949319,44.06528007
71,"[-93.5395405797029,44.0652398916904;-93.5395019997029,44.0652784716904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0652784716904,44.0652784716904,44.0652398916904,44.0652398916904,44.0652784716904,NaN]",74,-93.53953177,44.06528007,-93.53949319,44.06524149
72,"[-93.5395405797029,44.0652013116904;-93.5395019997029,44.0652398916904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0652398916904,44.0652398916904,44.0652013116904,44.0652013116904,44.0652398916904,NaN]",75,-93.53953177,44.06524149,-93.53949319,44.06520291
73,"[-93.5395405797029,44.0651627316904;-93.5395019997029,44.0652013116904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0652013116904,44.0652013116904,44.0651627316904,44.0651627316904,44.0652013116904,NaN]",76,-93.53953177,44.06520291,-93.53949319,44.06516433
74,"[-93.5395405797029,44.0651241516904;-93.5395019997029,44.0651627316904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0651627316904,44.0651627316904,44.0651241516904,44.0651241516904,44.0651627316904,NaN]",77,-93.53953177,44.06516433,-93.53949319,44.06512575
75,"[-93.5395405797029,44.0650855716904;-93.5395019997029,44.0651241516904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0651241516904,44.0651241516904,44.0650855716904,44.0650855716904,44.0651241516904,NaN]",78,-93.53953177,44.06512575,-93.53949319,44.06508717
76,"[-93.5395405797029,44.0650469916904;-93.5395019997029,44.0650855716904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0650855716904,44.0650855716904,44.0650469916904,44.0650469916904,44.0650855716904,NaN]",79,-93.53953177,44.06508717,-93.53949319,44.06504859
77,"[-93.5395405797029,44.0650084116904;-93.5395019997029,44.0650469916904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0650469916904,44.0650469916904,44.0650084116904,44.0650084116904,44.0650469916904,NaN]",80,-93.53953177,44.06504859,-93.53949319,44.06501001
78,"[-93.5395405797029,44.0649698316904;-93.5395019997029,44.0650084116904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0650084116904,44.0650084116904,44.0649698316904,44.0649698316904,44.0650084116904,NaN]",81,-93.53953177,44.06501001,-93.53949319,44.06497143
79,"[-93.5395405797029,44.0649312516904;-93.5395019997029,44.0649698316904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0649698316904,44.0649698316904,44.0649312516904,44.0649312516904,44.0649698316904,NaN]",82,-93.53953177,44.06497143,-93.53949319,44.06493285
80,"[-93.5395405797029,44.0648926716904;-93.5395019997029,44.0649312516904]","[-93.5395405797029,-93.5395019997029,-93.5395019997029,-93.5395405797029,-93.5395405797029,NaN]","[44.0649312516904,44.0649312516904,44.0648926716904,44.0648926716904,44.0649312516904,NaN]",83,-93.53953177,44.06493285,-93.53949319,44.06489427
81,"[-93.5395019997029,44.0656256916904;-93.5394634197029,44.0656642716904]","[-93.5395019997029,-93.5394634197029,-93.5394634197029,-93.5395019997029,-93.5395019997029,NaN]","[44.0656642716904,44.0656642716904,44.0656256916904,44.0656256916904,44.0656642716904,NaN]",85,-93.53949319,44.06566587,-93.53945461,44.06562729
82,"[-93.5395019997029,44.0655871116904;-93.5394634197029,44.0656256916904]","[-93.5395019997029,-93.5394634197029,-93.5394634197029,-93.5395019997029,-93.5395019997029,NaN]","[44.0656256916904,44.0656256916904,44.0655871116904,44.0655871116904,44.0656256916904,NaN]",86,-93.53949319,44.06562729,-93.53945461,44.06558871
83,"[-93.5395019997029,44.0655485316904;-93.5394634197029,44.0655871116904]","[-93.5395019997029,-93.5394634197029,-93.5394634197029,-93.5395019997029,-93.5395019997029,NaN]","[44.0655871116904,44.0655871116904,44.0655485316904,44.0655485316904,44.0655871116904,NaN]",87,-93.53949319,44.06558871,-93.53945461,44.06555013
84,"[-93.5395019997029,44.0655099516904;-93.5394634197029,44.0655485316904]","[-93.5395019997029,-93.5394634197029,-93.5394634197029,-93.5395019997029,-93.5395019997029,NaN]","[44.0655485316904,44.0655485316904,44.0655099516904,44.0655099516904,44.0655485316904,NaN]",88,-93.53949319,44.06555013,-93.53945461,44.06551155
85,"[-93.5395019997029,44.0654713716904;-93.5394634197029,44.0655099516904]","[-93.5395019997029,-93.5394634197029,-93.5394634197029,-93.5395019997029,-93.5395019997029,NaN]","[44.0655099516904,44.0655099516904,44.0654713716904,44.0654713716904,44.0655099516904,NaN]",89,-93.53949319,44.06551155,-93.53945461,44.06547297
