,Mean.Yld.bu.ac
352,0.7114710403506341
353,0.7931376598342055
354,0.7941228173056816
355,0.8470689911535887
356,0.8285577387257861
357,0.8095287091283176
358,0.8051995230887465
359,0.8068931331055158
360,0.8329728664727196
361,0.796264490208789
362,0.7879878315629385
363,0.8161074656218692
364,0.7580094498387309
365,0.7222757329008589
366,0.6967575718574996
367,0.6337682774099136
368,0.6620075891717716
369,0.6685818950796472
370,0.554338729622132
371,0.5385083714623966
372,0.45323215254098503
373,0.41357553457799257
374,0.32304742902712946
375,0.3052283887736762
376,0.34607800821754786
377,0.34030564465438307
378,0.315209922873521
379,0.2427051077304503
380,0.20985705375060948
381,0.11131757192934444
382,0.00819584245345073
383,0.731100825624712
384,0.7645343467151247
385,0.8052801305748851
386,0.8256614494181023
387,0.8788960209232088
388,0.8484875540877921
389,0.8433765433810683
390,0.8248795541077747
391,0.820112090247801
392,0.8574517441618654
393,0.8022567011686847
394,0.8043860336916797
395,0.8270820470646039
396,0.7289626395956188
397,0.7062568516136853
398,0.6916280882213186
399,0.5720716859931243
400,0.5518267490352107
401,0.5879865535212108
402,0.5292615830737153
403,0.5369369866833869
404,0.4706165881960698
405,0.3850915972619071
406,0.3026909325873053
407,0.30256214568051987
408,0.3927132813665539
409,0.37227705305534187
410,0.39572119059920774
411,0.28244010594212754
412,0.19804545472812873
413,0.12671032633933965
414,0.05392637129857125
415,0.7540279296150922
416,0.797155729405691
417,0.8044524590867315
418,0.8419732583336523
419,0.8469868561645943
420,0.8540725178033566
421,0.8392015582337307
422,0.835654786433965
423,0.8230163248666822
424,0.8343800274763298
425,0.7772737282030255
426,0.8181984635350359
427,0.839467609296491
428,0.7287093519077887
429,0.6835102532702921
430,0.6850752605333905
431,0.4972457090876585
432,0.4089796974309854
433,0.40386020323774896
434,0.5640928634281863
435,0.6300237740887662
436,0.5605548940159595
437,0.41963191570625336
438,0.3008031812329319
439,0.3045069226957071
440,0.37761528866457406
441,0.43767146995215844
442,0.4560084056127871
443,0.3500576034378018
444,0.2931007375150283
445,0.19165366142393903
446,0.16055596420925333
447,0.7967192376020624
448,0.8080422921729593
449,0.804480469394794
450,0.8219603360853065
451,0.8160082423914976
452,0.8168974172337391
453,0.8186175556460209
454,0.8478252279413381
455,0.8669059427443211
456,0.8313494760957525
457,0.7940960303770812
458,0.8139455482388007
459,0.8296308467183586
460,0.7541419167314256
461,0.6685171279912292
462,0.6553843650151421
463,0.4761245724794596
464,0.3334260519186656
465,0.31370872479485734
466,0.5355158923695897
467,0.6963056836471171
468,0.6498221876368293
469,0.49650918858345694
470,0.2720009256230622
471,0.2932092988486916
472,0.36266291521906946
473,0.45747110200312946
474,0.48617438130994794
475,0.4297548141209868
476,0.35113195837787314
477,0.25537687796319664
478,0.23252120372089302
479,0.8051226516288434
