,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG
1277,0.2514208117487301,0.3072581252083042,0.2230516532236526,0.27098272601418133,0.7922907403704764,0.7055180926649433,0.6693710784300723,0.15678437181125693,0.4692527190769611,0.29634863377267745,0.14968746282728718,0.46966504919937757,0.7232528503134694,0.8110168621425278,0.6665181475917032,0.7332067610387814
1278,0.28057888648594276,0.33707116209562094,0.2456866620372844,0.29903529016793157,0.7666781970432717,0.6658497988574986,0.6276412039501814,0.1649424977329943,0.5009304826103138,0.3362824275859927,0.1611721543659752,0.5012762889335177,0.6847067472317132,0.7875523129641322,0.6243932338604057,0.70071010871479
1279,0.27894432429713834,0.34279079268489343,0.2400913412745045,0.3001693123053744,0.8127749956195853,0.7000988363515345,0.6511931483644394,0.11478302967378529,0.5342831148422316,0.30034801958333296,0.10377675322188817,0.5347673225179322,0.718003890138952,0.8320173886645197,0.6607263212419552,0.7475104954205394
1280,0.28829904943921947,0.3544343263844838,0.24270872282463551,0.30916454895777407,0.8265593746521402,0.6965298876273777,0.639272092061839,0.08668776473400364,0.5596335966254498,0.30298619903706264,0.07288581696030194,0.5601429394522756,0.7145441427040451,0.8462189789000292,0.6569184345388437,0.7573115986815151
1281,0.2370115173766535,0.2943136980852138,0.19583622669729178,0.25440474831641874,0.864059961326227,0.734769022747728,0.6723652927641867,0.056433515118765154,0.4852983747570405,0.26340490535715133,0.03629277194381941,0.48581913763716955,0.7514907728857518,0.8812715942129119,0.6979846369785241,0.7994413383895123
1282,0.23912387466680074,0.28891660305548683,0.20440948667272046,0.2541985194005341,0.8052412230601615,0.6966661299642644,0.6503463725527113,0.1250141551856272,0.4477895868657209,0.30413623534954826,0.1153126778110054,0.4481538490328453,0.7146762593057803,0.824632688987804,0.6570637046681171,0.7404928063295007
1283,0.19717849419101746,0.2473525206153978,0.1860477538593024,0.21779012100057055,0.8077163843342692,0.7682795022220551,0.7494361625967757,0.18861963292695672,0.38532318762664897,0.23503189027564925,0.18068167017978076,0.38579285574582156,0.7836441689149103,0.8232102412848703,0.7344630677631292,0.7659493809562874
1284,0.19077855454408288,0.23592401062217105,0.1719325890710966,0.207080962041646,0.8206696271965617,0.7547360495628158,0.7230476220067207,0.15262183287701703,0.3737438484760762,0.24708122759021506,0.14191524204337191,0.3741666061533596,0.7706746460387737,0.8366790701334528,0.7196643272123038,0.7714591881870918
1285,0.21398933762510686,0.26136131508498806,0.18791731210939588,0.22978308458736102,0.8116533352043236,0.7255881688104647,0.6870792598450571,0.14112922648199122,0.40866796244985726,0.27574114467350475,0.13114735735217975,0.4090584536702343,0.7426449789251932,0.8292833697442754,0.6880710468575684,0.754813056599708
1286,0.22697782024845348,0.2745315170997602,0.20971101971048556,0.24491739730057277,0.7611795847926215,0.7052540024209829,0.685660152280393,0.21278059357012946,0.40422232331169083,0.2985116408048235,0.210849883589997,0.4045463035696891,0.722997184291926,0.7797772551555302,0.666235628214741,0.7091768189470424
1287,0.18678016395916103,0.23565523098921648,0.17836921104641845,0.20735775425527042,0.81190781177972,0.7806958446377207,0.7648091267267173,0.1927798088683388,0.3693188867292502,0.2228870546546346,0.18449215192806434,0.36980069804978966,0.7955038016561011,0.8268294741912245,0.7480972902161414,0.7734255846447518
