OID_,FID,X,Y,Dry_yld_22
223,222,-93.530911170859326,44.077806448039937,14052.336751302000266
224,223,-93.530911170859326,44.077767448039928,13960.367610676999902
225,224,-93.530911170859326,44.077728448039935,13867.467968749999272
226,225,-93.530911170859326,44.077689448039933,13883.232226562999131
227,226,-93.530911170859326,44.077650448039932,14041.304101562000142
228,227,-93.530911170859326,44.077611448039931,14236.542447916999663
229,228,-93.530911170859326,44.077572448039938,14320.133984374999272
230,229,-93.530911170859326,44.077533448039937,14334.744596353999441
231,230,-93.530911170859326,44.077494448039936,14328.438606771000195
232,231,-93.530911170859326,44.077455448039935,14343.908723958000337
233,232,-93.530911170859326,44.077416448039934,14337.118398438000440
234,233,-93.530911170859326,44.077377448039933,14448.956347655999707
235,234,-93.530911170859326,44.077338448039924,14698.861100259999148
236,235,-93.530911170859326,44.077299448039945,14940.442805990000124
237,236,-93.530911170859326,44.077260448039937,14975.126249999999345
238,237,-93.530911170859326,44.077221448039936,14917.097298176999175
239,238,-93.530911170859326,44.077182448039927,14832.569466146000195
240,239,-93.530911170859326,44.077143448039934,14722.580240884999512
241,240,-93.530911170859326,44.077104448039933,14707.674023437000869
242,241,-93.530911170859326,44.077065448039932,14737.925553384999148
243,242,-93.530911170859326,44.077026448039931,14785.180013020999468
244,243,-93.530911170859326,44.076987448039937,14839.444108072999370
245,244,-93.530911170859326,44.076948448039936,14849.447382812999422
246,245,-93.530911170859326,44.076909448039935,14570.610286458000701
247,246,-93.530911170859326,44.076870448039934,13954.106738280999707
248,247,-93.530911170859326,44.076831448039933,13493.026399739999761
249,248,-93.530872170859311,44.078001448039934,14307.939127604000532
250,249,-93.530872170859311,44.077962448039933,14215.256239148999157
251,250,-93.530872170859311,44.077923448039925,14172.627848307000022
252,251,-93.530872170859311,44.077884448039931,14115.589778645999104
253,252,-93.530872170859311,44.077845448039938,14066.748453775999224
254,253,-93.530872170859311,44.077806448039937,14021.411892361000355
255,254,-93.530872170859311,44.077767448039928,13914.343153211999379
256,255,-93.530872170859311,44.077728448039935,13829.589257812000142
257,256,-93.530872170859311,44.077689448039933,13831.204020182000022
258,257,-93.530872170859311,44.077650448039932,14044.651448567999978
259,258,-93.530872170859311,44.077611448039931,14332.446533202999490
260,259,-93.530872170859311,44.077572448039938,14458.108951823000098
261,260,-93.530872170859311,44.077533448039937,14374.362304688000222
262,261,-93.530872170859311,44.077494448039936,14308.549587674000577
263,262,-93.530872170859311,44.077455448039935,14375.241102431000400
264,263,-93.530872170859311,44.077416448039934,14436.814843750000364
265,264,-93.530872170859311,44.077377448039933,14562.978922525999224
266,265,-93.530872170859311,44.077338448039924,14777.806369358000666
267,266,-93.530872170859311,44.077299448039945,14959.038547091999135
268,267,-93.530872170859311,44.077260448039937,15011.390397134999148
269,268,-93.530872170859311,44.077221448039936,14990.795193141999334
270,269,-93.530872170859311,44.077182448039927,14879.959852431000400
271,270,-93.530872170859311,44.077143448039934,14769.085042317999978
272,271,-93.530872170859311,44.077104448039933,14769.465006509999512
273,272,-93.530872170859311,44.077065448039932,14829.616726345000643
274,273,-93.530872170859311,44.077026448039931,14874.242648654999357
275,274,-93.530872170859311,44.076987448039937,14869.435058593999202
276,275,-93.530872170859311,44.076948448039936,14786.689290365000488
277,276,-93.530872170859311,44.076909448039935,14398.854139540000688
278,277,-93.530872170859311,44.076870448039934,13776.836398654999357
279,278,-93.530872170859311,44.076831448039933,13477.512586806000400
280,279,-93.530833170859324,44.078001448039934,14159.788704426999175
281,280,-93.530833170859324,44.077962448039933,14100.303195529999357
282,281,-93.530833170859324,44.077923448039925,14045.071940104000532
283,282,-93.530833170859324,44.077884448039931,13977.030305989999761
284,283,-93.530833170859324,44.077845448039938,13912.954291449999801
285,284,-93.530833170859324,44.077806448039937,13887.088270398999157
286,285,-93.530833170859324,44.077767448039928,13864.003743490000488
287,286,-93.530833170859324,44.077728448039935,13852.527343750000000
288,287,-93.530833170859324,44.077689448039933,13870.345241970000643
289,288,-93.530833170859324,44.077650448039932,14074.665961372000311
290,289,-93.530833170859324,44.077611448039931,14376.242675781000798
291,290,-93.530833170859324,44.077572448039938,14509.753710937000506
292,291,-93.530833170859324,44.077533448039937,14405.107096354000532
293,292,-93.530833170859324,44.077494448039936,14342.796685113000422
294,293,-93.530833170859324,44.077455448039935,14522.094455295000444
295,294,-93.530833170859324,44.077416448039934,14731.298177082999246
296,295,-93.530833170859324,44.077377448039933,14793.758517795000444
297,296,-93.530833170859324,44.077338448039924,14784.136745877000067
298,297,-93.530833170859324,44.077299448039945,14802.403483072999734
299,298,-93.530833170859324,44.077260448039937,14859.005403646000559
300,299,-93.530833170859324,44.077221448039936,14927.685845268999401
301,300,-93.530833170859324,44.077182448039927,14901.991400824999801
302,301,-93.530833170859324,44.077143448039934,14806.556098090000887
303,302,-93.530833170859324,44.077104448039933,14801.387076823000825
304,303,-93.530833170859324,44.077065448039932,14892.468587240000488
305,304,-93.530833170859324,44.077026448039931,14931.639621311000155
306,305,-93.530833170859324,44.076987448039937,14850.753580729000532
307,306,-93.530833170859324,44.076948448039936,14639.032682291999663
308,307,-93.530833170859324,44.076909448039935,14198.267171224000776
309,308,-93.530833170859324,44.076870448039934,13586.543728299000577
310,309,-93.530833170859324,44.076831448039933,13424.385416667000754
311,310,-93.530794170859309,44.078001448039934,13983.787011718999565
312,311,-93.530794170859309,44.077962448039933,13904.870659722000710
313,312,-93.530794170859309,44.077923448039925,13850.577907986000355
314,313,-93.530794170859309,44.077884448039931,13808.700455729000169
315,314,-93.530794170859309,44.077845448039938,13769.405409070999667
316,315,-93.530794170859309,44.077806448039937,13822.498942057000022
317,316,-93.530794170859309,44.077767448039928,13942.015977647999534
318,317,-93.530794170859309,44.077728448039935,14001.959895833000701
319,318,-93.530794170859309,44.077689448039933,14046.194986979000532
320,319,-93.530794170859309,44.077650448039932,14176.404676648999157
321,320,-93.530794170859309,44.077611448039931,14425.058024088999446
322,321,-93.530794170859309,44.077572448039938,14544.538476563000586
323,322,-93.530794170859309,44.077533448039937,14475.150851779999357
324,323,-93.530794170859309,44.077494448039936,14477.630181206999623
325,324,-93.530794170859309,44.077455448039935,14722.409857856000599
326,325,-93.530794170859309,44.077416448039934,14974.181933593999929
327,326,-93.530794170859309,44.077377448039933,14955.446940104000532
328,327,-93.530794170859309,44.077338448039924,14724.728000216999135
329,328,-93.530794170859309,44.077299448039945,14566.567111545000444
330,329,-93.530794170859309,44.077260448039937,14595.386588542000027
331,330,-93.530794170859309,44.077221448039936,14721.508327908000865
332,331,-93.530794170859309,44.077182448039927,14789.219428168000377
333,332,-93.530794170859309,44.077143448039934,14763.419949002000067
334,333,-93.530794170859309,44.077104448039933,14787.427473957999609
335,334,-93.530794170859309,44.077065448039932,14855.943332247999933
336,335,-93.530794170859309,44.077026448039931,14857.244167752000067
337,336,-93.530794170859309,44.076987448039937,14735.951063368000177
338,337,-93.530794170859309,44.076948448039936,14467.148209634999148
339,338,-93.530794170859309,44.076909448039935,14025.759711372000311
340,339,-93.530794170859309,44.076870448039934,13351.216824002000067
341,340,-93.530794170859309,44.076831448039933,13074.024658202999490
342,341,-93.530755170859322,44.078001448039934,13890.130390624999563
343,342,-93.530755170859322,44.077962448039933,13787.121028645999104
344,343,-93.530755170859322,44.077923448039925,13784.946842448000098
345,344,-93.530755170859322,44.077884448039931,13819.118125000000873
346,345,-93.530755170859322,44.077845448039938,13825.133300781000798
347,346,-93.530755170859322,44.077806448039937,13927.933691406000435
348,347,-93.530755170859322,44.077767448039928,14120.190266927000266
349,348,-93.530755170859322,44.077728448039935,14230.586875000000873
350,349,-93.530755170859322,44.077689448039933,14260.281347656000435
351,350,-93.530755170859322,44.077650448039932,14322.439160156000071
352,351,-93.530755170859322,44.077611448039931,14529.411718749999636
353,352,-93.530755170859322,44.077572448039938,14609.763359374999709
354,353,-93.530755170859322,44.077533448039937,14571.527213542000027
355,354,-93.530755170859322,44.077494448039936,14630.334700520999831
356,355,-93.530755170859322,44.077455448039935,14915.037337240000852
357,356,-93.530755170859322,44.077416448039934,15073.927734375000000
358,357,-93.530755170859322,44.077377448039933,14967.908398437999494
359,358,-93.530755170859322,44.077338448039924,14704.535839844000293
360,359,-93.530755170859322,44.077299448039945,14490.994791667000754
361,360,-93.530755170859322,44.077260448039937,14507.828554687999713
362,361,-93.530755170859322,44.077221448039936,14589.923470051999175
363,362,-93.530755170859322,44.077182448039927,14699.777571615000852
364,363,-93.530755170859322,44.077143448039934,14765.457031250000000
365,364,-93.530755170859322,44.077104448039933,14796.763632812000651
366,365,-93.530755170859322,44.077065448039932,14786.579069010000239
367,366,-93.530755170859322,44.077026448039931,14731.201139323000461
368,367,-93.530755170859322,44.076987448039937,14655.707161457999973
369,368,-93.530755170859322,44.076948448039936,14388.950078125000800
370,369,-93.530755170859322,44.076909448039935,13943.013118490000124
371,370,-93.530755170859322,44.076870448039934,13228.603450520999104
372,371,-93.530755170859322,44.076831448039933,12714.424772135000239
373,372,-93.530716170859307,44.078001448039934,13911.981022134999876
374,373,-93.530716170859307,44.077962448039933,13896.586507161000554
375,374,-93.530716170859307,44.077923448039925,13993.816541883999889
376,375,-93.530716170859307,44.077884448039931,14051.270833332999246
377,376,-93.530716170859307,44.077845448039938,13991.882405599000776
378,377,-93.530716170859307,44.077806448039937,14049.116536457999246
379,378,-93.530716170859307,44.077767448039928,14280.472086588999446
380,379,-93.530716170859307,44.077728448039935,14426.015494792000027
381,380,-93.530716170859307,44.077689448039933,14437.005371093999202
382,381,-93.530716170859307,44.077650448039932,14464.857476127999689
383,382,-93.530716170859307,44.077611448039931,14582.587972004999756
384,383,-93.530716170859307,44.077572448039938,14592.124348957999246
385,384,-93.530716170859307,44.077533448039937,14575.999565972000710
386,385,-93.530716170859307,44.077494448039936,14721.469428168000377
387,386,-93.530716170859307,44.077455448039935,14988.368625216999135
388,387,-93.530716170859307,44.077416448039934,15047.491829426999175
389,388,-93.530716170859307,44.077377448039933,14889.705322265999712
390,389,-93.530716170859307,44.077338448039924,14723.602105034999113
391,390,-93.530716170859307,44.077299448039945,14634.593668620000244
392,391,-93.530716170859307,44.077260448039937,14639.321484374999272
393,392,-93.530716170859307,44.077221448039936,14633.970784504999756
394,393,-93.530716170859307,44.077182448039927,14737.801350911000554
395,394,-93.530716170859307,44.077143448039934,14864.308024088999446
396,395,-93.530716170859307,44.077104448039933,14863.773079426999175
397,396,-93.530716170859307,44.077065448039932,14743.155192057000022
398,397,-93.530716170859307,44.077026448039931,14623.652642143999401
399,398,-93.530716170859307,44.076987448039937,14587.638807508999889
400,399,-93.530716170859307,44.076948448039936,14369.052083332999246
401,400,-93.530716170859307,44.076909448039935,13949.524441188999845
402,401,-93.530716170859307,44.076870448039934,13175.656819661000554
403,402,-93.530716170859307,44.076831448039933,12565.033582898999157
404,403,-93.530677170859320,44.078001448039934,13979.838281250000364
405,404,-93.530677170859320,44.077962448039933,14123.625488281000798
406,405,-93.530677170859320,44.077923448039925,14309.295355902999290
407,406,-93.530677170859320,44.077884448039931,14319.361914061999414
408,407,-93.530677170859320,44.077845448039938,14108.260091145999468
409,408,-93.530677170859320,44.077806448039937,14076.733778211999379
410,409,-93.530677170859320,44.077767448039928,14358.575602213999446
411,410,-93.530677170859320,44.077728448039935,14539.027766926999902
412,411,-93.530677170859320,44.077689448039933,14573.289008247000311
413,412,-93.530677170859320,44.077650448039932,14545.762858072999734
414,413,-93.530677170859320,44.077611448039931,14490.379991318999600
415,414,-93.530677170859320,44.077572448039938,14374.373795572999370
416,415,-93.530677170859320,44.077533448039937,14391.598578559000089
417,416,-93.530677170859320,44.077494448039936,14634.421657986000355
418,417,-93.530677170859320,44.077455448039935,14897.955810547000510
419,418,-93.530677170859320,44.077416448039934,14916.993359374999272
420,419,-93.530677170859320,44.077377448039933,14785.127061631999823
421,420,-93.530677170859320,44.077338448039924,14733.517144097000710
422,421,-93.530677170859320,44.077299448039945,14776.286214192999978
423,422,-93.530677170859320,44.077260448039937,14769.930338542000754
424,423,-93.530677170859320,44.077221448039936,14722.343777127000067
425,424,-93.530677170859320,44.077182448039927,14796.715386284999113
426,425,-93.530677170859320,44.077143448039934,14904.306369358000666
427,426,-93.530677170859320,44.077104448039933,14855.484212240000488
428,427,-93.530677170859320,44.077065448039932,14645.500217013999645
429,428,-93.530677170859320,44.077026448039931,14446.437879773999157
430,429,-93.530677170859320,44.076987448039937,14440.234944661000554
431,430,-93.530677170859320,44.076948448039936,14371.446516927000630
432,431,-93.530677170859320,44.076909448039935,14024.304931640999712
433,432,-93.530677170859320,44.076870448039934,13322.428493924000577
434,433,-93.530677170859320,44.076831448039933,12876.161593966999135
435,434,-93.530638170859319,44.078001448039934,14011.354003906000798
436,435,-93.530638170859319,44.077962448039933,14263.161078559000089
437,436,-93.530638170859319,44.077923448039925,14466.876519097000710
438,437,-93.530638170859319,44.077884448039931,14398.555110676999902
439,438,-93.530638170859319,44.077845448039938,14108.904622395999468
440,439,-93.530638170859319,44.077806448039937,14021.274278429000333
441,440,-93.530638170859319,44.077767448039928,14344.651828341999135
442,441,-93.530638170859319,44.077728448039935,14599.433235676999175
443,442,-93.530638170859319,44.077689448039933,14661.706081813999845
444,443,-93.530638170859319,44.077650448039932,14549.949517143999401
445,444,-93.530638170859319,44.077611448039931,14319.422661675000199
446,445,-93.530638170859319,44.077572448039938,14131.092187500000364
447,446,-93.530638170859319,44.077533448039937,14167.878200954999556
448,447,-93.530638170859319,44.077494448039936,14467.079833984000288
449,448,-93.530638170859319,44.077455448039935,14741.288384331999623
450,449,-93.530638170859319,44.077416448039934,14768.406119792000027
451,450,-93.530638170859319,44.077377448039933,14704.241265190999911
452,451,-93.530638170859319,44.077338448039924,14715.499376084999312
453,452,-93.530638170859319,44.077299448039945,14732.138346354000532
454,453,-93.530638170859319,44.077260448039937,14709.049348958000337
455,454,-93.530638170859319,44.077221448039936,14684.703803168000377
456,455,-93.530638170859319,44.077182448039927,14727.331054688000222
457,456,-93.530638170859319,44.077143448039934,14765.934407552000266
458,457,-93.530638170859319,44.077104448039933,14650.290950520999104
459,458,-93.530638170859319,44.077065448039932,14402.689371745000244
460,459,-93.530638170859319,44.077026448039931,14192.470214843999202
461,460,-93.530638170859319,44.076987448039937,14299.361680772999534
462,461,-93.530638170859319,44.076948448039936,14401.704980468999565
463,462,-93.530638170859319,44.076909448039935,14161.162027995000244
464,463,-93.530638170859319,44.076870448039934,13666.903700086999379
